n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
32,2729.925183648784,2729.925183648784,2732.029558448252,2732.0295581897376
33,2730.0131935129652,2730.0131935129652,2732.137845390011,2732.137845774181
34,2730.106075859766,2730.106075859766,2732.248685015076,2732.248684857479
35,2730.203715287912,2730.203715287912,2732.3619117244966,2732.3619115116435
36,2730.306003590604,2730.306003590604,2732.4773565279847,2732.4773569154813
37,2730.4128347558417,2730.4128347558417,2732.5948415297266,2732.5948413232436
38,2730.5241000899887,2730.5241000899887,2732.714174501415,2732.714174338019
39,2730.6396834099196,2730.6396834099196,2732.8351434682922,2732.8351438509135
40,2730.759456274285,2730.759456274285,2732.9575112656794,2732.9575110154233
41,2730.883273248494,2730.883273248494,2733.081010053517,2733.0810099421597
42,2731.0109672214107,2731.0109672214107,2733.2053358062312,2733.2053361761464
43,2731.142344814789,2731.142344814789,2733.3301428258756,2733.330142537724
44,2731.2771819492355,2731.2771819492355,2733.455038358492,2733.455038300556
45,2731.4152196523855,2731.4152196523855,2733.579577427779,2733.5795777777134
46,2731.556160215899,2731.556160215899,2733.703258036149,2733.703257716574
47,2731.699663826066,2731.699663826066,2733.8255169212807,2733.825516916977
