function,alpha_pl,c_lc,sse_pl,sse_lc,aic_pl,aic_lc,bic_pl,bic_lc,selected_model,delta_aic
zeta,0.528400196378916,3.570061118968381,0.008141064376700773,0.00161285088426569,-13.728339912126607,-18.585092656967262,-15.531115334790389,-20.387868079631044,log_correlated,4.856752744840655
L_chi4,8.119384085166661e-07,5.569334086330622e-06,2.3278620023160686e-12,2.0973214022328656e-12,-79.65404946152023,-79.96691719035523,-81.45682488418402,-81.76969261301902,log_correlated,0.3128677288350019
f_rand,0.020861797063304308,0.1441172783317349,0.00315006530112427,0.0029296780441280925,-16.576833153535816,-16.794425099626817,-18.379608576199598,-18.5972005222906,log_correlated,0.21759194609100163
L_DH,0.00018254377387368908,0.0012264503563051477,6.8911866671660866e-09,1.0052363552685917e-08,-55.67490447518293,-54.5422110181641,-57.477679897846706,-56.34498644082788,power_law,-1.1326934570188243
