function,coef,c1_unif,c1_weighted,rel_change_c1,c2_unif,c2_weighted,rel_change_c2,resid_unif,resid_weighted
zeta,a,-29.252485032887023,-30.583946976119922,-0.04551619945232026,4.383557246441061,4.494385317015951,0.025282678962358515,3.0398724273750637,3.1248342179633153
zeta,b,17.80680165769825,17.25140302762816,-0.031190251946787997,-2.7220456882821367,-2.6533436063256897,0.025239136232060966,2.016194354416974,2.103741140649131
zeta_delta,a,-29.252485032887023,-30.583946976119922,-0.04551619945232026,4.383557246441061,4.494385317015951,0.025282678962358515,3.0398724273750637,3.1248342179633153
zeta_delta,b,17.80680165769825,17.25140302762816,-0.031190251946787997,-2.7220456882821367,-2.6533436063256897,0.025239136232060966,2.016194354416974,2.103741140649131
L_DH,a,-17.828044920531784,-18.786840859997607,-0.053780206620503805,2.580827470752478,2.6474231732554934,0.025804011797657407,7.916467521316404,7.484533103318913
L_DH,b,10.43592028879047,9.364396344666307,-0.10267651672992542,-1.5834586694736643,-1.4703441869601903,0.07143507102150815,3.9244906331446225,4.1211123080839975
L_chi5,a,-19.386814231146296,-20.746884063788926,-0.07015437484605289,2.790854097619121,2.903519965686584,0.04036967327083789,2.5151662687852516,2.5703144738507224
L_chi5,b,11.710159113702417,11.495199880882424,-0.018356644921114912,-1.7614236634374976,-1.7290944625240456,0.018354017596402695,1.5715491811123157,1.5045179327652858
L_Delta,a,-7.050421427115307,-6.955999772281026,0.01339234197705448,1.5617186739756832,1.5074276374505056,-0.034763646891003995,0.8084381913496967,0.9002634626012563
L_Delta,b,4.089825655322709,3.6166050598843786,-0.11570678931569052,-0.9398903589866032,-0.8590573116187987,0.08600263487643313,0.4779980748844477,0.4911690648794692
