subset,n,alpha,beta,R2,pearson_r
ALL (704 pts),704,1.0596504353128626,8.388718183143588,0.013522948584321903,0.11628821343679574
F1,64,1.8632978203501527,1.502443493288025,0.9089494027664987,0.9533883798151196
F2,64,-4.386222925311887,8.297859517260635,0.0023249873623272244,-0.048218122758224576
F4,64,-0.8941124890036113,2.6183299544488725,0.0010181952448425902,-0.03190917179813141
F5p,64,-0.9664437333375651,2.6957237466641844,0.001113776787144971,-0.033373294520395703
F5m,64,-0.8351709987558813,2.555933087039401,0.0009397725948619984,-0.030655710640300607
F6,64,0.04045514033026251,18.689557910903638,6.5861862541538585e-06,0.0025663566108719005
F7,64,0.005267115187379856,4.540422485019384,5.447516791323714e-06,0.0023339916005016004
F9,64,-2.7656902205923646,4.230779701182547,0.002225093555637825,-0.04717089733763663
F10,64,0.22896676941769062,7.342020584283042,9.293976060864573e-06,0.0030486023126520337
F11,64,-1.9058687222831998,7.250966812495599,0.00048199367941914595,-0.02195435445234284
F12,64,-0.12043561767033721,30.17641403202601,3.8099379500167174e-06,-0.0019519062349874772
