class,j,k,M_jk,C_jk,diag,pred,resid
F1,0,0,1.0,1.0,True,9.44836861845645,-8.44836861845645
F1,0,1,4.254383152107135,3.660339696977052,False,12.267398736438274,-8.01301558433114
F1,0,2,6.851503693950184,5.128188329195176,False,13.822805178541598,-6.9713014845914145
F1,0,3,5.320609396709497,3.4004212240425264,False,11.99197601344735,-6.671366616737852
F1,0,4,2.8713755602991053,1.0634493999480994,False,9.515602802731795,-6.64422724243269
F1,0,5,1.050880973086056,0.13550474105253843,False,8.532305840986867,-7.481424867900811
F1,0,6,0.12060230294212496,0.004812368424230542,False,8.39381761143921,-8.273215308497086
F1,0,7,0.0008283089756985599,1.0963226099890265e-05,False,8.388729800330898,-8.3879014913552
F1,1,0,4.254383152107135,3.660339696977052,False,12.267398736438274,-8.01301558433114
F1,1,1,18.865715289923028,13.398086697266057,True,22.586006584261042,-3.720291294338015
F1,1,2,30.602647980347015,18.770911314927524,False,28.279322529225677,2.323325451121338
F1,1,3,23.41677946225406,12.446696792806158,False,21.577865857847847,1.838913604406212
F1,1,4,12.190558024287576,3.892586054356454,False,12.513498690135183,-0.3229406658476073
F1,1,5,4.235294054923174,0.49599338280320243,False,8.914297787143301,-4.679003732220127
F1,1,6,0.46068619231259883,0.017614903179689955,False,8.40738382296594,-7.9466976306533414
F1,1,7,0.002870123821633067,4.012913170036324e-05,False,8.388760705995463,-8.385890582173829
F1,2,0,6.851503693950184,5.128188329195176,False,13.822805178541598,-6.9713014845914145
F1,2,1,30.602647980347015,18.770911314927524,False,28.279322529225677,2.323325451121338
F1,2,2,50.64408773748923,26.298315539693608,True,36.25573969277494,14.388348044714292
F1,2,3,38.74502901376918,17.438000435482458,False,26.866902935588463,11.878126078180713
F1,2,4,19.727477567754242,5.453568801503456,False,14.167594737665372,5.5598828300888705
F1,2,5,6.779641028353178,0.694893831616242,False,9.125062734311962,-2.345421705958784
F1,2,6,0.7257073124774698,0.024678731588926445,False,8.414869011814764,-7.689161699337294
F1,2,7,0.004157493334117963,5.62214881357852e-05,False,8.388777758267965,-8.384620264933847
F1,3,0,5.320609396709497,3.4004212240425264,False,11.99197601344735,-6.671366616737852
F1,3,1,23.41677946225406,12.446696792806158,False,21.577865857847847,1.838913604406212
F1,3,2,38.74502901376918,17.438000435482458,False,26.866902935588463,11.878126078180713
F1,3,3,30.87098014118837,11.562864500918874,True,20.64131258500592,10.229667556182449
F1,3,4,15.895025967519897,3.6161759102788062,False,12.220600560638413,3.6744254068814843
F1,3,5,5.364003318336459,0.4607731974334383,False,8.87697670238443,-3.5129733840479718
F1,3,6,0.5870066795262472,0.016364079727665626,False,8.406058387350503,-7.819051707824256
F1,3,7,0.003544950058604475,3.727958671404383e-05,False,8.388757686473879,-8.385212736415275
F1,4,0,2.8713755602991053,1.0634493999480994,False,9.515602802731795,-6.64422724243269
F1,4,1,12.190558024287576,3.892586054356454,False,12.513498690135183,-0.3229406658476073
F1,4,2,19.727477567754242,5.453568801503456,False,14.167594737665372,5.5598828300888705
F1,4,3,15.895025967519897,3.6161759102788062,False,12.220600560638413,3.6744254068814843
F1,4,4,10.354162395016642,1.1309246262499726,True,9.587102955655409,0.7670594393612333
F1,4,5,4.066332889462679,0.1441024355624446,False,8.541416391716977,-4.475083502254298
F1,4,6,0.45281909754405514,0.005117710313077151,False,8.394141167104646,-7.941322069560591
F1,4,7,0.0027857426089732485,1.1658836217423645e-05,False,8.388730537434462,-8.38594479482549
F1,5,0,1.050880973086056,0.13550474105253843,False,8.532305840986867,-7.481424867900811
F1,5,1,4.235294054923174,0.49599338280320243,False,8.914297787143301,-4.679003732220127
F1,5,2,6.779641028353178,0.694893831616242,False,9.125062734311962,-2.345421705958784
F1,5,3,5.364003318336459,0.4607731974334383,False,8.87697670238443,-3.5129733840479718
F1,5,4,4.066332889462679,0.1441024355624446,False,8.541416391716977,-4.475083502254298
F1,5,5,2.2503265383138458,0.018361534847715494,True,8.408174991537983,-6.157848453224137
F1,5,6,0.31228098563922524,0.000652098737174772,False,8.389409179854303,-8.077128194215078
F1,5,7,0.002379006518898189,1.4855691137660611e-06,False,8.388719757327546,-8.386340750808648
F1,6,0,0.12060230294212496,0.004812368424230542,False,8.39381761143921,-8.273215308497086
F1,6,1,0.46068619231259883,0.017614903179689955,False,8.40738382296594,-7.9466976306533414
F1,6,2,0.7257073124774698,0.024678731588926445,False,8.414869011814764,-7.689161699337294
F1,6,3,0.5870066795262472,0.016364079727665626,False,8.406058387350503,-7.819051707824256
F1,6,4,0.45281909754405514,0.005117710313077151,False,8.394141167104646,-7.941322069560591
F1,6,5,0.31228098563922524,0.000652098737174772,False,8.389409179854303,-8.077128194215078
F1,6,6,0.05865516589589557,2.3158889850531152e-05,True,8.3887427234713,-8.330087557575403
F1,6,7,0.0006246323710446908,5.2759083110812066e-08,False,8.388718239049773,-8.388093606678728
F1,7,0,0.0008283089756985599,1.0963226099890265e-05,False,8.388729800330898,-8.3879014913552
F1,7,1,0.002870123821633067,4.012913170036324e-05,False,8.388760705995463,-8.385890582173829
F1,7,2,0.004157493334117963,5.62214881357852e-05,False,8.388777758267965,-8.384620264933847
F1,7,3,0.003544950058604475,3.727958671404383e-05,False,8.388757686473879,-8.385212736415275
F1,7,4,0.0027857426089732485,1.1658836217423645e-05,False,8.388730537434462,-8.38594479482549
F1,7,5,0.002379006518898189,1.4855691137660611e-06,False,8.388719757327546,-8.386340750808648
F1,7,6,0.0006246323710446908,5.2759083110812066e-08,False,8.388718239049773,-8.388093606678728
F1,7,7,1.5372116849155665e-05,1.201923265173151e-10,True,8.38871818327095,-8.3887028111541
F2,0,0,1.0,1.0,True,9.44836861845645,-8.44836861845645
F2,0,1,4.213170732616407,-0.2628503835345371,False,8.110188659809063,-3.897017927192656
F2,0,2,6.540019458526671,0.12516036415411444,False,8.521344417503412,-1.9813249589767414
F2,0,3,5.960715306328337,0.0020413027083947387,False,8.390881250447144,-2.430165944118807
F2,0,4,3.678187719189655,0.0003553677098182636,False,8.389094748691994,-4.710907029502339
F2,0,5,0.9182989246612078,0.00010318899599354498,False,8.388827527408113,-7.470528602746905
F2,0,6,0.037532080109088616,-4.174056573875543e-06,False,8.388713760102723,-8.351181679993635
F2,0,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F2,1,0,4.213170732616407,-0.2628503835345371,False,8.110188659809063,-3.897017927192656
F2,1,1,18.56833355592268,0.1045082481581177,True,8.499460393798122,10.068873162124559
F2,1,2,29.107084413563303,-0.03231080636613715,False,8.354480023112401,20.7526043904509
F2,1,3,25.98996944816411,0.0016800187762524101,False,8.390498415771178,17.599471032392934
F2,1,4,15.421249647470932,0.00010722791715036564,False,8.388831807252675,7.032417840218256
F2,1,5,3.6461146634318538,-2.987513696317532e-05,False,8.3886865259417,-4.7425718625098465
F2,1,6,0.13694852427635185,1.924844452610875e-06,False,8.38872022280585,-8.251771698529497
F2,1,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F2,2,0,6.540019458526671,0.12516036415411444,False,8.521344417503412,-1.9813249589767414
F2,2,1,29.107084413563303,-0.03231080636613715,False,8.354480023112401,20.7526043904509
F2,2,2,46.66296011452323,0.0156748667538764,True,8.405328062522804,38.257632052000424
F2,2,3,41.4549284091946,0.00029226694049192,False,8.389027883934308,33.06590052526029
F2,2,4,24.07663278930542,4.780685063752016e-05,False,8.388768841693677,15.687863947611744
F2,2,5,5.614827842758911,1.2869514133971841e-05,False,8.388731820329843,-2.7739039775709324
F2,2,6,0.20706980583382262,-5.086936271079853e-07,False,8.388717644106165,-8.181647838272342
F2,2,7,0.0,0.0,False,8.388718183143588,-8.388718183143588
F2,3,0,5.960715306328337,0.0020413027083947387,False,8.390881250447144,-2.430165944118807
