Lag,Riemann_zeta_ACF,L_chi5_ACF,Validated_L_DH_ACF
294,0.99706,-0.2492625,-0.00216
295,0.99705,0.99705,0.00067
296,0.99704,-0.2492625,0.0031
297,0.99703,-0.249275,0.00099
298,0.99702,-0.2492375,0.0015
299,0.99701,-0.24925,-0.00031
300,0.997,0.997,0.00814
301,0.99699,-0.24925,-0.00605
302,0.99698,-0.2492625,0.0044
303,0.99697,-0.249225,-0.00119
304,0.99696,-0.2492375,0.00028
305,0.99695,0.99695,0.00051
306,0.99694,-0.2492375,-0.00194
307,0.99693,-0.24925,0.00305
308,0.99692,-0.2492125,-0.00094
309,0.99691,-0.249225,-0.00015
310,0.9969,0.9969,-0.00338
311,0.99689,-0.249225,0.00083
312,0.99688,-0.2492375,-0.00394
313,0.99687,-0.2492,0.00261
314,0.99686,-0.2492125,0.0012
315,0.99685,0.99685,-0.03591
316,0.99684,-0.2492125,0.0064
317,0.99683,-0.249225,-0.00167
318,0.99682,-0.2491875,-0.00142
319,0.99681,-0.2492,-0.00815
320,0.9968,0.9968,-0.00038
321,0.99679,-0.2492,0.00281
322,0.99678,-0.2492125,0.00224
323,0.99677,-0.249175,0.00275
324,0.99676,-0.2491875,-0.00222
325,0.99675,0.99675,0.00633
326,0.99674,-0.2491875,0.00234
327,0.99673,-0.2492,-0.00063
328,0.99672,-0.2491625,0.0053
329,0.99671,-0.249175,0.00059
330,0.9967,0.9967,0.01622
331,0.99669,-0.249175,-0.00159
332,0.99668,-0.2491875,-0.00236
333,0.99667,-0.24915,0.00231
334,0.99666,-0.2491625,-0.00368
335,0.99665,0.99665,0.00143
336,0.99664,-0.2491625,-0.00286
337,0.99663,-0.249175,-0.00041
338,0.99662,-0.2491375,0.00164
339,0.99661,-0.24915,0.00127
340,0.9966,0.9966,-0.00582
341,0.99659,-0.24915,-0.00129
342,0.99658,-0.2491625,-0.00238
343,0.99657,-0.249125,-0.00195
344,0.99656,-0.2491375,-0.00112
345,0.99655,0.99655,-0.00343
346,0.99654,-0.2491375,-0.0019
347,0.99653,-0.24915,-0.00301
348,0.99652,-0.2491125,-0.00432
349,0.99651,-0.249125,-0.00253
350,0.9965,0.9965,-0.01594
351,0.99649,-0.249125,-0.00097
352,0.99648,-0.2491375,-0.00358
353,0.99647,-0.2491,9e-05
354,0.99646,-0.2491125,-0.00122
355,0.99645,0.99645,-0.00171
356,0.99644,-0.2491125,0.00142
357,0.99643,-0.249125,0.00529
358,0.99642,-0.2490875,-0.00174
359,0.99641,-0.2491,0.00173
360,0.9964,0.9964,0.00482
361,0.99639,-0.2491,0.00151
362,0.99638,-0.2491125,0.0037
363,0.99637,-0.249075,0.00069
364,0.99636,-0.2490875,-0.0003
365,0.99635,0.99635,0.00181
366,0.99634,-0.2490875,-0.00086
367,0.99633,-0.2491,0.00221
368,0.99632,-0.2490625,0.00128
369,0.99631,-0.249075,-0.00323
370,0.9963,0.9963,0.00124
371,0.99629,-0.249075,-0.00325
372,0.99628,-0.2490875,0.00064
373,0.99627,-0.24905,-0.00031
374,0.99626,-0.2490625,-0.00032
375,0.99625,0.99625,-0.00143
376,0.99624,-0.2490625,0.00248
377,0.99623,-0.249075,0.00259
378,0.99622,-0.2490375,-0.00334
379,0.99621,-0.24905,0.00223
380,0.9962,0.9962,-0.00816
381,0.99619,-0.24905,0.00179
382,0.99618,-0.2490625,-0.00224
