Function,N,M2_total,M2_diagonal,M2_off_diagonal,M2_pct_off_diagonal,M4_total,M4_pct_pure_diagonal,M4_pct_mixed_diagonal,M4_pct_off_diagonal
zeta,10000,82580.32229291476,94253.06001515807,-11672.737722243312,-14.135011099665823,5553441.290165689,13.872479577090907,25.833092205006942,60.29442821790214
zeta,100000,1203854.30628742,1242748.60671534,-38894.30042791981,-3.2308145782080877,184510683.65194625,9.255627403935202,18.986537439149494,71.7578351569153
liouville,10000,84864.75978043333,96382.61385121015,-11517.854070776808,-13.572010455902332,10548561.106635068,11.70425810274927,19.32537954953724,68.97036234771349
liouville,100000,1143500.4434065307,1199275.3610541343,-55774.91764760389,-4.877559774393119,222825792.18323737,7.718818734205563,14.667901165593324,77.61328010020111
