zero_id,sigma,t,magnitude_at_zero
1,0.7915002047052819,85.69155629729036,2.6478278699396784e-09
2,0.636037822127099,114.16554730359033,5.7438569089890204e-09
3,0.563844555643368,166.46206349319232,1.012722251588366e-09
4,0.7097618902550259,176.70544982503972,2.3114643646392427e-09
