function,peak_id,t,mag,M_coh,R_comp
L_DH_canonical,0,7574.656773893715,6.771844975718479,2.067483124930356,0.00010614439682308448
L_DH_canonical,1,4857.910578123572,6.066274192759941,2.1133913117247016,9.58898190261517e-05
L_DH_canonical,2,8325.063768506801,5.893579758733599,2.0848526630657362,0.00010079523793432526
L_DH_canonical,3,5384.559850706575,5.628326639623243,2.083624637006921,7.519764182773559e-05
L_DH_canonical,4,8927.572366363418,5.535024490911112,2.165976179689806,8.812477717202888e-05
L_DH_canonical,5,7100.9453038397805,5.411806083261011,1.9400358941000446,9.43470606266109e-05
L_DH_canonical,6,8272.125965977733,5.411174299331862,2.0922362303496387,7.172777910037724e-05
L_DH_canonical,7,6500.619708149311,5.381702442031784,1.958137192555727,0.00010082514327543012
L_DH_canonical,8,7486.790936706291,5.331629677639818,1.9945980990704342,7.896235335323699e-05
L_DH_canonical,9,5993.071704520096,5.263019221240963,2.12824055092947,7.89613695292553e-05
L_DH_canonical,10,1441.5121881032635,5.23339441383614,2.17097974177264,7.212548955439472e-05
L_DH_canonical,11,5090.946059359781,5.20420698136631,1.3494102670980948,0.00011098287221093525
L_DH_canonical,12,6294.326003448405,5.1895321020114915,1.9847341562124554,7.312736435444025e-05
L_DH_canonical,13,5572.843787536767,5.177737814748955,2.1423776016606952,8.095780715973733e-05
L_DH_canonical,14,6477.152434863229,5.1604212352031045,2.090476612044966,6.939840169606046e-05
L_DH_canonical,15,5792.7812557760935,5.155741136334825,1.6229351850700549,9.739506421583676e-05
L_DH_canonical,16,7722.009420108649,5.144930713500523,2.0680765799094085,7.533302972643559e-05
L_DH_canonical,17,9867.900549431308,5.131607558066886,1.8617662596380484,9.128655268041205e-05
L_DH_canonical,18,3191.1884242702135,5.107892230003663,2.0871224498660528,6.626917205883468e-05
L_DH_canonical,19,6178.626888642605,5.083085104029865,1.9328884933915784,7.427750667938896e-05
L_DH_canonical,20,3293.78952607913,5.04603646244566,2.0161482815962097,8.700488642732542e-05
L_DH_canonical,21,3434.5931657956226,5.042799069822067,2.167822692011932,7.262445767732272e-05
L_DH_canonical,22,9584.656018373715,5.042222734818218,1.9200651366800352,8.27979954221018e-05
L_DH_canonical,23,3214.6556975562958,5.012800114261313,1.595670497054144,9.966994504606853e-05
L_DH_canonical,24,9569.375003210684,5.010157208490194,1.957220846702344,9.227226441284886e-05
L_DH_canonical,25,3917.0366445141453,4.98826284469774,1.6111031564051028,9.917637063543871e-05
L_DH_canonical,26,8329.429772839096,4.983241934022136,1.6267344546436806,9.450336122263016e-05
L_DH_canonical,27,5968.5129301509405,4.978790432529813,1.995775393512907,7.609248121320363e-05
L_DH_canonical,28,4341.630565829768,4.973705745089579,1.9573876444771279,7.402943434337566e-05
L_DH_canonical,29,6550.828757970696,4.962853824880083,1.4758220511953901,9.843592137304755e-05
L_DH_canonical,30,4936.49865610487,4.93670737892001,1.9405760778176027,9.36706051524358e-05
L_DH_canonical,31,5512.811227967721,4.9362959371270545,1.9922229242893226,6.049748064190474e-05
L_DH_canonical,32,7813.149760545292,4.918995210772719,2.090105946140784,6.529201676697748e-05
L_DH_canonical,33,7824.064771376028,4.905751826892611,2.05611754314405,5.8729236927068425e-05
L_DH_canonical,34,9102.758290196729,4.891069351226676,1.9917388929408084,7.586977430219399e-05
L_DH_canonical,35,8466.41315876483,4.888822778368464,2.0305261436642206,7.046508802201689e-05
L_DH_canonical,36,8141.69158655044,4.883172842883697,1.70783072357927,0.0001016719120109281
L_DH_canonical,37,9553.00248696458,4.875558759580379,1.905627446392859,8.264075239728171e-05
L_DH_canonical,38,9517.52870176469,4.871638254770347,2.0215633121119216,7.741029718835226e-05
L_DH_canonical,39,9836.247018022175,4.857054869068748,1.9277676590752644,7.617825819835266e-05
L_DH_canonical,40,2853.9145896004775,4.850027376586827,2.1211615440755187,7.891276263154786e-05
L_DH_canonical,41,7048.553251852249,4.84598726528463,2.0748483771797535,6.27519604470758e-05
L_DH_canonical,42,9970.501651240225,4.8345266311059865,1.3745612274476873,0.0001191979504056196
L_DH_canonical,43,1585.0445805274394,4.823074154185596,2.138537967150977,6.534989381365624e-05
L_DH_canonical,44,6967.782171704804,4.804379742345403,1.9243797339663946,7.498907561252325e-05
L_DH_canonical,45,5927.035888994144,4.8029101624192565,2.005031051907753,6.610497144651972e-05
L_DH_canonical,46,4268.499993263838,4.802177419492583,1.4822417082060726,0.00010169203705005633
L_DH_canonical,47,4996.531215673916,4.798132333832013,2.0492421381292676,6.353552162859638e-05
L_DH_canonical,48,6144.2446045257875,4.793227662895767,1.9038407600412044,8.575470521092504e-05
L_DH_canonical,49,9880.99856242819,4.79185477610803,1.932960692269038,6.684029515907268e-05
