magnitude,red_S2_pct,red_S3_pct,difference_pct,t,kappa
20.143328794654895,19.956459272158742,36.30372864456465,-16.347269372405908,1293794.6547718183,0.2
8.14043467647899,54.356710466238454,33.95277240898565,20.4039380572528,1358170.848699927,0.2
5.381047470338981,23.044824436591227,-39.37315670678646,62.41798114337769,1199673.8235229943,0.2
17.646392934561465,32.32388086480744,38.88447652446458,-6.560595659657139,1324187.0423827705,0.2
7.821332078083805,49.595964164417154,41.76746728990393,7.8284968745132275,1062670.344047515,0.2
5.045783064929946,-71.5287357022002,-127.43618414865318,55.90744844645299,1912018.9598302674,0.2
12.815818035354692,53.87376193766364,28.18819730248412,25.685564635179517,1917256.6767152215,0.2
9.179517916147978,54.24057153217288,37.47780836774737,16.762763164425508,1166452.6346340175,0.2
8.989440471448866,87.83337666148756,39.16723869521482,48.66613796627274,1787005.8611618255,0.2
10.181508742601256,-36.02185744620996,-36.00511802771333,-0.016739418496626968,1838256.2572121155,0.2
