t,height,r
15387.693846923463,30.682894638601066,1.6233450457848757
19139.569784892446,24.8229932365795,2.026325530308426
13591.795897948974,15.451068752564534,1.999328853455262
19864.932466233116,15.175040901779582,0.20388136583274424
12631.315657828914,14.918716730113566,2.1051780366202033
15867.933966983492,14.444714136758677,1.7485023306114493
17163.58179089545,13.940624040473955,0.8798996897668219
13356.678339169584,13.772375538021539,1.9375503730053585
19619.809904952475,12.37043737459419,2.0273272102772486
10120.060030015007,11.76597254750339,-0.05985647519298238
10320.16008004002,11.491269390482042,1.1804053423857712
15622.81140570285,11.15420963043528,1.8144016305087602
11670.835417708855,10.68066542129465,1.8210393369829039
19294.647323661833,10.647156845949603,2.397004241797816
14942.47123561781,10.581746707526385,1.3529882275323135
11470.735367683843,10.523986800619486,2.2902397554343796
17418.70935467734,10.518721029230699,0.47952554536310604
17663.83191595798,10.507900854107389,0.38041034511362687
18424.212106053026,9.987853832862157,0.23387892715436573
11515.75787893947,9.959273110127686,1.9167772310513964
13076.538269134568,9.785443956981835,1.5402101197884615
13836.918459229615,9.775192825472303,1.003448569504891
18144.07203601801,9.705082139139764,2.077394473996853
18904.452226113055,9.677385941435668,1.1184065363267286
17308.654327163582,9.620343172259224,2.232421616275503
13791.895947973988,9.532688717573379,1.2810034141665323
19029.51475737869,9.260327731724333,0.01531197666035718
16113.056528264133,9.114088185833772,1.7129212453837344
11435.717858929465,9.054628522304563,1.7332222594483324
16223.11155577789,9.037954093782318,2.4254927192120315
13911.955977988995,9.016853030373039,1.859774235408806
12196.098049024513,8.921157482182542,0.29006562869871894
11705.852926463233,8.676130965810371,2.1534933200902384
13501.75087543772,8.64258676230606,1.1737947693033295
16828.414207103553,8.591092759605395,1.6035813013034819
15987.993996998499,8.343277293465901,2.0228754634525914
11915.957978989494,8.31264157206858,0.7437020728334528
19104.55227613807,8.187592461910532,1.0207826062248524
11280.64032016008,8.109649146037333,1.8621158705620184
15422.711355677839,8.084303592258573,2.277215764849362
15032.516258129064,7.9882673402555255,2.77637929550002
17108.55427713857,7.961172769535216,1.0552078493428754
12471.235617808905,7.735370843839982,1.0461292445770907
12081.04052026013,7.728789012138197,1.5482538215682926
19404.70235117559,7.683574478433796,0.10862657701003564
19899.949974987496,7.676189907824752,1.2070887859174697
15232.616308154076,7.654573741117961,1.5637080575800049
18569.28464232116,7.634625310808756,-0.006058978068959522
16703.35167583792,7.591981926880708,0.08772579328644346
19494.74737368684,7.483293712050714,0.13599202955076364
16148.074037018509,7.390431554693512,0.24120587371794586
11235.617808904452,7.376255676771591,0.038078053830775116
17263.631815907953,7.338340770626178,0.5075121943989954
16543.27163581791,7.240698622014006,0.7460156115549882
11815.907953976988,7.21435128827788,0.8097516244478716
18939.469734867434,7.173265730019453,1.8037916172938069
18459.229614807402,7.1389992132902815,2.1448932907137186
18179.08954477239,7.065599341753768,1.0948965266194206
19184.592296148076,6.985173639742484,1.2275943001285317
16938.46923461731,6.980605591906722,0.3546612036316687
17698.849424712356,6.980385444991523,1.8586148750771256
14227.11355677839,6.807834836572161,0.8152676003186279
17863.931965982993,6.758501722921867,1.4102616224414652
15277.638819409705,6.7251049529261895,1.5031144126170335
13556.778389194598,6.57632819412935,1.4509298755104412
16188.094047023511,6.497311242309409,1.1296785277060435
