t,height,Num,Den,r
182482.4824824825,24.735630473957556,458.53643516848877,153.31497977568895,2.9908130036566627
186886.8868868869,22.0110014770052,342.7049155883922,141.7792704323328,2.4171722321843623
184684.68468468467,21.681075156171385,322.3555564184699,147.71346350908212,2.182303148004176
172972.97297297296,16.93240071298622,205.98815043843777,80.71804346669846,2.5519467716461874
163563.56356356357,16.817054862787238,198.7655770077985,84.0477572501974,2.364912324978566
100600.6006006006,15.750326908244045,120.22009561162551,127.85270210493093,0.940301562910722
156556.55655655655,13.685162981715138,133.48231383217845,53.801372003927874,2.4810206294076167
114514.51451451452,13.137924809575267,83.91907192547062,88.68599637658271,0.9462494120168584
161561.56156156157,13.085003254243396,116.67877732481364,54.538532838746654,2.139382400876023
165765.76576576577,12.071190410838376,93.9547168012674,51.75892113344898,1.8152371561035023
180080.08008008008,11.576464863522204,68.41819582430709,65.59634291205705,1.0430184486966476
189389.3893893894,11.41990148641769,72.53334215476625,57.880807804718685,1.2531501356975363
121521.52152152151,11.392903565777578,63.73674488725485,66.06150677185259,0.964809130184898
105005.005005005,10.270135241406036,74.08276073347626,31.39291714329395,2.35985589982999
193893.8938938939,9.559954730758204,63.23455594169571,28.158178512450437,2.245690569570609
110010.01001001,9.55128308018402,52.3090123338184,38.91799614399112,1.3440828798143256
170570.5705705706,9.32378828221801,58.92694006439457,28.00608786723129,2.104076097445314
123923.92392392393,9.307375810837106,41.85777176758939,44.76947271656629,0.9349623577786864
112212.2122122122,9.094791478326655,33.862339727233724,48.852892307009434,0.6931491284984808
159059.05905905907,8.79312837976483,34.74365354228461,42.57545316074106,0.8160489428289122
102602.6026026026,8.308784003719873,29.899754319693514,39.13613730077773,0.763993495063176
117017.01701701702,8.281055958965581,40.71988300009142,27.85600479542794,1.4617991093530704
178078.07807807808,8.05684204142976,48.53821053123637,16.3744931493137,2.964257280431959
196396.3963963964,7.951134005090663,23.20387599214263,40.01665597476646,0.5798554483606636
181881.88188188188,7.8414329637510205,44.023674973981,17.464395951020112,2.5207671137008054
191891.8918918919,7.541126904057909,20.239235578418917,36.62935940468711,0.5525413468145199
175175.1751751752,7.54046076365233,30.64175922960962,26.216789298570667,1.168783823245671
179479.4794794795,7.489250064286855,18.458174029661198,37.63069249575947,0.490508486702476
177477.47747747749,7.461453549432092,-8.839614088572615,64.51290315890539,-0.1370208695584395
135635.63563563564,7.360799431628731,19.963919930833672,34.217448341832174,0.5834426848955594
140240.24024024024,7.169605164226891,-5.182733682378849,56.585971893287756,-0.0915904332641431
118918.91891891892,6.94405548465028,33.193892639389134,15.026013934512505,2.2090950257371804
