omega_class_k,slope_L(Δ),slope_L_DH,slope_diff (L_DH - L(Δ)),p_interaction,significant_p<0.05,R^2
1,0.2892805335357309,0.170682256583631,-0.1185982769520999,0.008823907878338637,True,0.9997810525418005
2,0.7980121742452724,0.4801140131581967,-0.3178981610870757,0.00013588486849050842,True,0.9994009924818937
3,2.022538882469229,1.5659746154077707,-0.4565642670614585,0.009348119806828727,True,0.9978898105868351
4,4.821428276194541,3.065841447021085,-1.7555868291734562,0.04747094906734551,True,0.985986289933345
