t,D_magnitude,D_real,D_imag
80.0,1.3627485042487657,1.3059889246194898,-0.389199710436014
80.01200120012001,1.3416409601283439,1.2744251722950246,-0.41933393150912784
80.02400240024002,1.3186687389915823,1.2401276058166018,-0.4482976293549107
80.03600360036003,1.2937725371003228,1.2030791042438294,-0.47586557627850257
80.04800480048004,1.2668953986653329,1.1632789186927728,-0.5018028581867243
80.06000600060005,1.2379831007500282,1.1207441036875763,-0.5258657735508043
80.07200720072007,1.2069845977335132,1.0755109482258485,-0.5478029019750326
80.08400840084009,1.1738525367935144,1.0276363881209896,-0.5673563535787853
80.0960096009601,1.1385438605239693,0.9771993786138676,-0.5842632084715711
80.10801080108011,1.1010205199998468,0.9243022038684394,-0.5982571532248309
80.12001200120012,1.0612503327833611,0.8690716978643487,-0.6090703184394829
80.13201320132013,1.0192080378863406,0.8116603494320443,-0.6164353183035314
80.14401440144015,0.9748766275879329,0.752247262810337,-0.6200874894815869
80.15601560156016,0.9282490812495764,0.6910389442106054,-0.6197673228115326
80.16801680168017,0.8793307014104107,0.6282698844783918,-0.6152230771845552
80.18001800180018,0.8281423806986623,0.5642029081203981,-0.6062135607009578
80.19201920192019,0.774725353869379,0.4991292597280077,-0.5925110598220135
80.2040204020402,0.7191484008363717,0.4333684002153047,-0.5739043928393807
80.21602160216021,0.661519246649102,0.36726748730505615,-0.5502020596615628
80.22802280228022,0.6020034484805503,0.30120051734992187,-0.5212354557497159
80.24002400240025,0.5408572648384681,0.235567108849089,-0.48686211411140856
80.25202520252026,0.4784879988622967,0.17079091189719145,-0.44696893568633045
80.26402640264027,0.41557134541393237,0.10731763224271525,-0.40147536529526096
80.27602760276028,0.35329329977295254,0.04561266358873903,-0.3503364676775768
80.28802880288029,0.2938720155593166,-0.013841672816976769,-0.29354585608133354
80.3000300030003,0.24166541265101915,-0.07054927645944156,-0.23113842446213193
80.31203120312031,0.20496058541850212,-0.12400379275311842,-0.16319283365986617
80.32403240324032,0.19554840281132757,-0.1736924978985231,-0.0898337020044971
80.33603360336033,0.2193883045473107,-0.21910051970567193,-0.011233451688951904
80.34803480348035,0.269614238489547,-0.2597153642557133,0.0723862360246788
80.36003600360036,0.33598417673686126,-0.2950317119262026,0.16075340113179762
80.37203720372037,0.41185201539714417,-0.32455644018078444,0.2535452616868758
80.38403840384038,0.4937067307536691,-0.3478138247115676,0.3503881837776309
80.39603960396039,0.5796763460122734,-0.364350865156264,0.45085819631678287
80.40804080408041,0.6686807621008318,-0.3737426767786409,0.5544820764984975
80.42004200420043,0.7600327828309349,-0.3755978853247616,0.6607390252719316
80.43204320432044,0.8532498655980029,-0.36956395882173476,0.7690629450721294
80.44404440444045,0.9479610878343252,-0.3553324074834356,0.8788453244115617
80.45604560456046,1.0438586481846026,-0.33264378117998855,0.9894387258603061
80.46804680468047,1.1406713094969565,-0.3012923931979324,1.1001608655603798
80.48004800480048,1.238149243884375,-0.2611306993058888,1.2102992638234014
80.49204920492049,1.336055105481428,-0.2120732624835431,1.3191164377046387
80.5040504050405,1.434158662302173,-0.15410023609257556,1.425855597840318
80.51605160516051,1.5322335471032444,-0.08726030176394899,1.529746803430115
80.52805280528052,1.6300553175229846,-0.01167300283206875,1.6300135211677973
80.54005400540053,1.727400352963801,0.07246958026097937,1.725879526315861
80.55205520552055,1.8240453029539414,0.16490185960438639,1.8165760771097232
80.56405640564057,1.919766909300599,0.2652845140317416,1.9013492873905407
80.57605760576058,2.014342088051818,0.37320503912892733,1.979467616927777
80.58805880588059,2.1075481960545934,0.4881790952208761,2.050229394405001
80.6000600060006,2.1991634310794383,0.6096526658576902,2.112970284601679
80.61206120612061,2.288967329918355,0.7370050291789221,2.1670706090015943
80.62406240624063,2.3767413389129635,0.8695525340245874,2.211962427951525
80.63606360636064,2.4622694380434176,1.006553161951834,2.2471362926372342
80.64806480648065,2.545338804221369,1.1472118455423808,2.272147576572066
80.66006600660066,2.625740502536272,1.290686502718374,2.2866222990166185
80.67206720672067,2.7032701963755303,1.4360947363685064,2.290262356758908
80.68406840684068,2.7777288688959607,1.5825211385963889,2.282850085965704
80.69606960696069,2.8489235494481058,1.729025129481756,2.264252082304572
80.7080708070807,2.91666803940075,1.8746492515484654,2.2344222151891056
80.72007200720071,2.9807836324556867,2.0184278333078836,2.1934037807124707
80.73207320732074,3.0410998250519845,2.1593959284176827,2.1413307475176144
80.74407440744075,3.09745501287277,2.2965984312869487,2.078428060381446
80.75607560756076,3.149697169824121,2.4290992654819785,2.005010977534285
