block_index,block_maximum
0,3.4208499166177013
1,2.030069840346318
2,2.070546681353774
3,2.441094713390993
4,1.837789272301515
5,2.6911004773327725
6,2.0427363619567225
7,2.4111737362013193
8,1.7827371838986033
9,2.937936834221287
10,1.2854715596637927
11,3.1260536374084644
12,3.278664276466301
13,1.996942961938318
14,2.0036486296723757
15,2.830096975243551
16,2.3656869355032653
17,1.994152761323338
18,2.1469099623257915
19,1.124986834641627
20,1.9108302607716174
21,2.8909668476216512
22,1.9087860941694548
23,2.2067949603123553
24,2.187025597920822
25,1.7582514640378748
26,2.5675898070963226
27,2.369586662141386
28,2.0740878652581283
29,2.345272063983874
30,2.185943600715829
31,2.5554080595631365
32,2.1597741029893274
33,2.394594926386431
34,1.059527075199247
35,3.92886821878054
36,1.6183092784087352
37,2.74912426415433
38,2.728088967649622
39,2.0266605103125084
40,1.8916945206012925
41,2.343878212290768
42,1.3959030774774537
43,1.5169720685030306
44,2.1235970258558754
45,1.8566895246774047
46,2.5517487740318745
47,2.555959912379378
48,1.7731098649341872
49,2.2342597953100047
50,1.914543024043588
51,1.6101760893252317
52,1.4477352564737551
53,2.947082136184243
54,1.7587365489034636
55,3.14088869982073
56,2.648791419898202
57,2.948382405972055
58,2.5043249385324287
59,2.2520360010660228
60,2.1271765778788168
61,2.8722543770393774
62,3.046398298011765
63,1.1099890781054083
64,2.901346098890001
65,1.424931581591785
66,1.46795095068978
67,2.032377768821576
68,3.135441342385243
69,3.0799530999733244
70,2.5704558086688736
71,2.600830796684416
72,2.655068746662358
73,3.1290919410510805
74,1.6521699501742646
75,1.5313970467286508
76,2.4803893104472796
77,2.789251510305651
78,1.8614917660043915
79,3.060383422689221
80,2.159244948541809
81,3.5627758762760044
82,2.0116937316427608
83,2.326325619047071
84,2.0797824067258306
85,2.9305272139886296
86,1.5416144613872427
87,2.3756122723536115
88,2.402354998442764
89,1.541106098764449
90,3.737477804175949
91,3.7366659832014344
92,3.0034581702392833
93,3.0131091581606393
94,2.7134808947225446
95,0.9504128757354331
96,2.753319453613502
97,2.7697956087097264
98,1.3874296577054868
99,2.7679077717937983
