class,GRH,d,q,pc1_frac,entropy,ratio_21,lambda_1,lambda_2
F1,1,1,1,0.9648414292365566,0.18918590222815268,0.02266697867930834,109.10643814887068,2.473113307295726
F2,1,1,5,0.9367090554856307,0.2756827053777066,0.05531541565390832,117.06145334941188,6.475302949073317
F4,0,2,5,0.9035113867653685,0.4288170066523793,0.0601223524736551,35.37771099956092,2.1269912104267066
F5p,0,2,5,0.9027370634073856,0.433296017311361,0.05961153363494299,36.515821426728806,2.176764117187016
F5m,0,2,5,0.906185501652547,0.41968743963584515,0.05735369440172406,34.45298955802498,1.9760062343367548
F6,1,1,1,0.937852286485985,0.27664092204173746,0.04924167129037514,277.4250960765737,13.660875388703385
F7,1,1,1,0.9375394546321004,0.27560478770790253,0.051433353565598756,61.658096108566156,3.1712826573335517
