function,GRH_label,t,log_cond,absSk_0,logSk_norm_0,absSk_1,logSk_norm_1,absSk_2,logSk_norm_2,absSk_3,logSk_norm_3,absSk_4,logSk_norm_4,absSk_5,logSk_norm_5,absSk_6,logSk_norm_6,absSk_7,logSk_norm_7,pc1_frac,entropy,ratio_21
F1,1,22299.04000001989,10.012298907195099,1.0,-5.006149453596549,4.43231070439082,-3.5172284018282447,7.925668781131176,-2.9360427486083442,5.7619691050524855,-3.254870178793828,1.6385184726230209,-4.512356990397552,0.4180624284375203,-5.878273960875193,0.13247038806102673,-7.027545598454527,0.004644950183673898,-10.378124084876474,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,24329.62000002317,10.099449817078662,1.0,-5.049724908538331,4.653567628821279,-3.512090751107294,8.652250517623617,-2.891905445987373,5.881492557894412,-3.2779143424630273,1.0516108926543657,-4.99940173654578,0.2752366482704009,-6.339848920737716,0.0631023007894923,-7.812722956032195,0.0029224553123917718,-10.885056063816021,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,26296.93000002635,10.177207481315355,1.0,-5.088603740656677,4.316779036320747,-3.6260942099387288,7.879320670605569,-3.0243620498180133,4.870140802774294,-3.505480891706943,1.4893900684821038,-4.690237054518237,1.0245269486908979,-5.064372748068745,0.21081949456683027,-6.645356728273997,0.003311542957275555,-10.79894478832883,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,28327.240000029637,10.251579164853396,1.0,-5.125789582425698,4.944123067248618,-3.5275899703380693,8.505184754417142,-2.985113633779172,4.837344981912012,-3.549423569666834,1.120830138279173,-5.0117199767759635,0.6014045699118693,-5.634276992092341,0.11947976142090982,-7.250397864866486,0.0024603992731311386,-11.133221218077473,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,28807.75000003041,10.268399727147152,1.0,-5.134199863572576,4.569891370552847,-3.6147104290694845,7.942985766251567,-3.0619106179105184,4.4879889665720025,-3.632795153784678,1.9388092043035838,-4.472125891172311,0.9390053261916479,-5.1971339911668935,0.1822472976777831,-6.836590599328133,0.006285920836872573,-10.203642797662024,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,30774.97000003359,10.33445697623605,1.0,-5.167228488117025,4.646318077175436,-3.6311533935268585,8.749900426923954,-2.998186167593257,7.198495368220323,-3.193356460570602,1.6119668730780672,-4.6897733944438365,0.8892728246808288,-5.284579689261297,0.20051662038444396,-6.774086629098619,0.004339736547389194,-10.607170123966489,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,32324.860000036097,10.383591872618648,1.0,-5.191795936308324,5.038265816992577,-3.5747339973663506,8.820518606111559,-3.0147152691402357,5.50221722158294,-3.4866447941093686,0.9681515940768226,-5.224162534823942,0.5382111642475277,-5.811300233533893,0.13666509887158262,-7.182017815991047,0.0020291519911813626,-11.391933247356217,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,34155.55000003906,10.438680370097021,1.0,-5.2193401850475105,3.8396189544249495,-3.8739670539908007,7.241587562891698,-3.2394997260458567,5.088147040494717,-3.592426459959773,2.4277808311005207,-4.332362583181968,0.6297107582144048,-5.681834864013947,0.023570945827132532,-8.967080619413718,0.0020015990450960777,-11.433149079870956,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,35253.01000004083,10.47030619466697,1.0,-5.235153097332485,4.095836131691885,-3.8251822173074927,7.114119752030326,-3.273071590658019,4.6645505391863304,-3.6951616151169775,2.3703768782932237,-4.3721041344515355,1.3968635952133832,-4.900923663046788,0.17823141937739956,-6.959825561565853,0.003018212899108269,-11.038243475015932,0.9648414292365566,0.18918590222815268,0.02266697867930834
F1,1,35533.81000004128,10.478239916591104,1.0,-5.239119958294552,4.441334784061718,-3.74816499998952,7.141228516437169,-3.2732351356190827,5.531185073179757,-3.528717866772352,2.1364965194326873,-4.479952611292204,0.7307381823960376,-5.5528200052993615,0.10834845341218254,-7.461522783387204,0.0008426520485945919,-12.318076396020583,0.9648414292365566,0.18918590222815268,0.02266697867930834
