function,name,d,q,GRH,t,|M|,log_abs_S0_norm,log_abs_S0,abs_S0,log_abs_S1_norm,log_abs_S1,abs_S1,log_abs_S2_norm,log_abs_S2,abs_S2,log_abs_S3_norm,log_abs_S3,abs_S3,log_abs_S4_norm,log_abs_S4,abs_S4,log_abs_S5_norm,log_abs_S5,abs_S5,log_abs_S6_norm,log_abs_S6,abs_S6,log_abs_S7_norm,log_abs_S7,abs_S7
F1,zeta,1,1,True,77403.70000024521,14.060887866633788,0.0,0.0,1.0,0.6900497352120993,1.6705907355513874,5.315306810626032,0.953343919348296,2.308018448797728,10.054481432510174,0.8733058275615926,2.114248510477297,8.283358569398045,0.3952563544511104,0.9569043653221339,2.603624116232772,0.0855535289509075,0.20712265444922298,1.2301334438680256,-0.5239848238780657,-1.268552319741363,0.2812384705956745,-2.2813144309059097,-5.522997196687097,0.003993859602589546
F1,zeta,1,1,True,74956.00000023631,13.948294009702508,0.0,0.0,1.0,0.6721722949405072,1.6253884548077517,5.080392156679918,0.9560001204989633,2.3117161631771284,10.091728855806327,0.8460083808349963,2.0457437255748685,7.734909048922729,0.40099805577058495,0.9696585461136142,2.637043876728905,-0.029345626267233547,-0.07096103557509191,0.9314981867116369,-0.6958102498506276,-1.6825476970070696,0.18589975595950187,-2.1913508388339036,-5.29893359289549,0.004996919817405042
F1,zeta,1,1,True,94526.8000003075,13.610745596149632,0.0,0.0,1.0,0.6720072051991851,1.6387361793512463,5.148658417851706,0.9189979613172999,2.2410402690761546,9.403107963808571,0.812571499576306,1.9815119605312876,7.253702009411183,0.5140671031047439,1.253588285890975,3.502889803223028,0.08978789102481687,0.21895399982564484,1.244774015548782,-0.7019222490665641,-1.7116860886871483,0.18056109379710053,-2.4383212922356567,-5.946015589646388,0.0026162439683934755
F1,zeta,1,1,True,97255.10000031743,13.262598402022194,0.0,0.0,1.0,0.6222962213282055,1.5190561336374293,4.567911661598212,0.8849942201620344,2.1603150594446316,8.673870012682853,0.7441108733839837,1.8164117787951162,6.1497521414014,0.5753693665492772,1.4045053391105125,4.073511236121442,0.28897774817438526,0.7054091055094375,2.0246748211374,-0.3967945296948416,-0.9685952500888317,0.37961592916920817,-2.2448083368999883,-5.479689183601678,0.004170625795357968
F1,zeta,1,1,True,63751.90000019555,13.12989406566125,0.0,0.0,1.0,0.6597573657061528,1.5857822445389402,4.883109670771902,0.9306259862303167,2.2368377254735567,9.363673912289471,0.8540400912524975,2.052757094091805,7.78934749181858,0.4059781840383003,0.9758026653162607,2.653296065214901,-0.3132426006948703,-0.7529049014609492,0.47099636554476937,-1.3241517718577838,-3.182710005275002,0.04147311034377919,-2.916407578320438,-7.009830577017277,0.0009029615578778948
F1,zeta,1,1,True,83431.90000026714,13.091398259776518,0.0,0.0,1.0,0.674764040922329,1.6380650791524813,5.1452043113195405,0.8926706647637913,2.167057748268058,8.732552836755456,0.8346363608171807,2.0261729931202854,7.585002884726154,0.39930010085455137,0.9693455958587375,2.6362187422953114,0.22387485179865813,0.5434812091209699,1.7219910509880254,-0.4458357138691699,-1.082315994387984,0.338809934376993,-2.217304363660589,-5.382754011313577,0.004595149394429413
F1,zeta,1,1,True,88607.90000028597,13.007103123144256,0.0,0.0,1.0,0.6446584124737873,1.5683954302905698,4.798941776075204,0.8582846643460057,2.0881287196473006,8.06980016801332,0.795069254304634,1.9343313622958778,6.919415925901208,0.5496180679421513,1.3371708946723049,3.8082542981366854,0.10559914984858843,0.25691315099658235,1.292932831955137,-0.7882475674320712,-1.9177348170390738,0.146939430131187,-2.4383919426466116,-5.932386370991155,0.0026521454281771433
F1,zeta,1,1,True,90048.80000029122,12.986107390975157,0.0,0.0,1.0,0.6747182506947497,1.6424829963223533,5.167985683843557,0.8960156852201759,2.1811927065806773,8.856863601064664,0.7618623155781082,1.8546199062902493,6.38926926797097,0.41339185452499566,1.0063298142244144,2.735542618608648,0.10753739982563645,0.261780899657678,1.2992418469086608,-0.4232148612626591,-1.0302421976863394,0.35692050477940923,-2.178398252387007,-5.3029276814133635,0.0049770014816150785
F1,zeta,1,1,True,93874.70000030514,12.881577258681842,0.0,0.0,1.0,0.5957617450370684,1.4524462488308818,4.273555919997746,0.8348322637472242,2.0352917923711336,7.654485320069572,0.7728465896286595,1.8841728918966476,6.5809090671518,0.5506327785902897,1.3424234107160244,3.8283098398543167,0.2620021601258788,0.638752081399156,1.8941157016210757,-0.5486975567144486,-1.3377054076256347,0.2624471875111627,-2.5162420458337267,-6.134509896056424,0.0021667869085028623
F1,zeta,1,1,True,88081.60000028406,12.753498517170383,0.0,0.0,1.0,0.6018352321140656,1.4638957094583613,4.322767012888722,0.8670896838988175,2.1090969757890647,8.240796285062357,0.7463348602221551,1.8153746098589103,6.14337711607557,0.5401061057229092,1.3137466346772093,3.7200854359598874,0.2764472972327713,0.6724265890663467,1.9589852098094565,-0.45423297494948633,-1.1048700169767274,0.33125393683191784,-2.294143896007442,-5.580243938940533,0.003771645355392865
