epsilon,max_R_comp,t_at_max,relative_strength,dR_deps,kappa
-0.3,0.003755415367480675,85.96000000000305,,,-0.05139710606071074
-0.295,0.0037785127459072985,85.96000000000305,,,-0.046397106060710736
-0.29,0.0038019693784260206,85.96000000000305,,,-0.04139710606071073
-0.285,0.0038257898612663217,85.96000000000305,,,-0.03639710606071073
-0.27999999999999997,0.003850041677596169,85.97000000000305,,,-0.03139710606071072
-0.275,0.0038748931130468275,85.97000000000305,,,-0.026397106060710773
-0.27,0.003900121165940097,85.97000000000305,,,-0.02139710606071077
-0.265,0.003925730723269699,85.97000000000305,,,-0.016397106060710764
-0.26,0.003951726758870542,85.97000000000305,,,-0.01139710606071076
-0.255,0.003978114335875049,85.97000000000305,,,-0.0063971060607107555
-0.2545,0.003980774826009341,85.97000000000305,,,-0.005897106060710755
-0.254,0.003983439288235619,85.97000000000305,,,-0.005397106060710755
-0.2535,0.003986107727769587,85.97000000000305,,,-0.004897106060710754
-0.253,0.003988780149836451,85.97000000000305,,,-0.004397106060710754
-0.2525,0.003991456559670954,85.97000000000305,,,-0.0038971060607107533
-0.252,0.003994136962517356,85.97000000000305,,,-0.003397106060710753
-0.2515,0.003996821363629526,85.97000000000305,,,-0.0028971060607107524
-0.251,0.003999509768270909,85.97000000000305,,,-0.002397106060710752
-0.2505,0.0040022021817145955,85.97000000000305,,,-0.0018971060607107515
-0.25,0.004004898609243316,85.97000000000305,,,-0.001397106060710751
-0.2495,0.004007599056149509,85.97000000000305,,,-0.0008971060607107506
-0.249,0.004010303527735286,85.97000000000305,,,-0.00039710606071075016
-0.2485,0.004012188913390385,85.97000000000305,,,0.00010289393928925028
-0.248,0.004010900767213397,85.97000000000305,,,0.0006028939392892507
-0.2475,0.004009615234509127,85.97000000000305,,,0.0011028939392892512
-0.247,0.004008338326043082,85.98000000000306,,,0.0016028939392892516
-0.2465,0.004007083193563733,85.98000000000306,,,0.002102893939289252
-0.246,0.0040058305927734815,85.98000000000306,,,0.0026028939392892525
-0.2455,0.004004580519188145,85.98000000000306,,,0.003102893939289253
-0.245,0.004003332968331761,85.98000000000306,,,0.0036028939392892534
-0.24,0.003990995230975428,85.98000000000306,,,0.008602893939289258
-0.235,0.003978904903174198,85.98000000000306,,,0.013602893939289262
-0.22999999999999998,0.00396705764159014,85.98000000000306,,,0.018602893939289267
-0.225,0.003955449181183781,85.98000000000306,,,0.023602893939289243
-0.22,0.003944075333598886,85.98000000000306,,,0.028602893939289248
-0.215,0.003932931985592371,85.98000000000306,,,0.03360289393928925
-0.21000000000000002,0.00392201509750728,85.98000000000306,,,0.03860289393928923
-0.20500000000000002,0.00391132070178766,85.98000000000306,,,0.04360289393928923
-0.2,0.0039008560416325896,85.99000000000306,,,0.04860289393928924
-0.1,0.0037351551198402783,86.00000000000307,2.916306209874908,-0.0012573090109389013,
-0.08,0.0037100089396215003,86.00000000000307,2.2234428881729995,-0.0012034528959088964,
-0.07,0.003698243691237562,86.00000000000307,1.899270031499678,-0.0011508402095521675,
-0.06,0.0036869921354304577,86.00000000000307,1.5892511633057937,-0.0011003631103823908,
-0.05,0.0036762364290299134,86.00000000000307,1.2928946431864263,-0.001051639386966341,
-0.04,0.003665959347691131,86.00000000000307,1.0097258814962373,-0.0010046082605209838,
-0.03,0.0036561442638194932,86.00000000000307,0.739286731099642,-0.0009592111164355432,
-0.02,0.003646775125362421,86.00000000000307,0.48113490301386896,-0.0009153914197786439,
-0.01,0.0036378364354239206,86.00000000000307,0.23484340471988663,-0.0008729726771533608,
-0.005,0.0036335238128298955,86.00000000000307,0.11601589335450413,-0.000852320276352958,
0.0,0.0036293132326603913,86.00000000000307,0.0,-0.0008320907496673358,
0.005,0.0036252029053332217,86.00000000000307,-0.11325358445726241,-0.0008122160240847109,
0.01,0.003621191072419544,86.00000000000307,-0.223793310749687,-0.0007927465162468478,
0.02,0.0036134560085868505,86.00000000000307,-0.4369207907116035,-0.0007548248156522552,
0.03,0.0036060945761064987,86.00000000000307,-0.6397534482542544,-0.0007181117220340649,
0.04,0.003599093774146169,86.00000000000307,-0.8326495008001977,-0.0007000801960329802,
