statistic,orig_pearson_r,orig_pearson_p,orig_spearman_r,orig_spearman_p,kappa_R2,resid_pearson_r,resid_pearson_p,resid_spearman_r,resid_spearman_p
lambda1_max,-0.6950859095251751,0.08298584364337899,-0.5357142857142858,0.21521745567801298,0.90536242646295,-0.4713907486292501,0.2856069782572799,-0.5,0.2531699951003227
lambda_min,-0.6370261827140572,0.12388385762898405,-0.39285714285714296,0.3833168704269727,0.9391810538061441,-0.311318673568987,0.49672370792446285,-0.25,0.5887244480896832
lam1_norm,0.5722496020042158,0.17943244959825597,0.39285714285714296,0.3833168704269727,0.9871901180918429,-0.0189229325080858,0.967881183269343,-0.14285714285714288,0.7599453002180927
Frobenius,0.615526702021448,0.14117722046506642,0.39285714285714296,0.3833168704269727,0.9760427234212641,0.2867762304902018,0.5329233865955773,0.25,0.5887244480896832
Fro_norm,0.44210090182803924,0.3206097876359446,0.3214285714285715,0.48207203829967776,0.9463239993388273,-0.5191448015613621,0.23246736370508148,-0.5714285714285715,0.18020198891152767
trace,-0.6655403062116756,0.10273288762601654,-0.39285714285714296,0.3833168704269727,0.9267628601015242,-0.4027963841079444,0.37028642938799183,-0.42857142857142866,0.3373683110858243
