Function,Peak_Number,t_value,N,R_comp,Magnitude
Riemann_Zeta,1,2447.6033114262164,10000,0.4156295481690815,13.327690695958275
Riemann_Zeta,1,2447.6033114262164,100000,0.4176234528565369,
Riemann_Zeta,2,2819.3958678481235,10000,0.7067711365441012,12.035699732405662
Riemann_Zeta,2,2819.3958678481235,100000,0.47683272590491876,
Riemann_Zeta,3,2927.863787978552,10000,0.8096160875304356,11.285625702259022
Riemann_Zeta,3,2927.863787978552,100000,0.4646832652722045,
Riemann_Zeta,4,2202.015567734681,10000,0.8753162228496497,11.155427434075547
Riemann_Zeta,4,2202.015567734681,100000,0.5803514021859003,
Riemann_Zeta,5,1967.3428348738805,10000,0.9582142784633144,11.140229025654127
Riemann_Zeta,5,1967.3428348738805,100000,0.9501221984614642,
Riemann_Zeta,6,2556.7534197335654,10000,0.8064420970789486,10.839261186701233
Riemann_Zeta,6,2556.7534197335654,100000,0.8312064694240364,
Riemann_Zeta,7,1658.9937789056196,10000,0.6014715233812299,10.626134727647202
Riemann_Zeta,7,1658.9937789056196,100000,0.5466969048721282,
Riemann_Zeta,8,1549.8436705982706,10000,0.2658711608593982,10.560411609753418
Riemann_Zeta,8,1549.8436705982706,100000,0.4745065949964874,
Riemann_Zeta,9,2030.786335327527,10000,0.9636946810964441,10.559246291685607
Riemann_Zeta,9,2030.786335327527,100000,0.9449646537010862,
Riemann_Zeta,10,1721.7550911823453,10000,0.9523634847379887,10.381234417801886
Riemann_Zeta,10,1721.7550911823453,100000,0.5769346567307891,
Davenport_Heilbronn,1,2612.6928502410815,10000,0.8519484508444357,2.7007650653265487
Davenport_Heilbronn,1,2612.6928502410815,100000,0.9643317135060742,
Davenport_Heilbronn,2,2798.248034363575,10000,0.9102850727289727,2.629282073376559
Davenport_Heilbronn,2,2798.248034363575,100000,0.8755379738475261,
Davenport_Heilbronn,3,2146.0761372271645,10000,0.6440976521966569,2.6059434501774157
Davenport_Heilbronn,3,2146.0761372271645,100000,0.49391978106923706,
Davenport_Heilbronn,4,2177.456793365527,10000,0.981889077599078,2.5976738853931347
Davenport_Heilbronn,4,2177.456793365527,100000,0.9326310324067657,
Davenport_Heilbronn,5,1294.0231042529213,10000,0.5072257879275632,2.591005581219362
Davenport_Heilbronn,5,1294.0231042529213,100000,0.08498023556715434,
Davenport_Heilbronn,6,2331.631321349658,10000,0.8161606146788175,2.4903329632610034
Davenport_Heilbronn,6,2331.631321349658,100000,0.9484053706021242,
Davenport_Heilbronn,7,1991.901609243034,10000,0.8729296278180063,2.438822771604605
Davenport_Heilbronn,7,1991.901609243034,100000,0.8416856735382289,
Davenport_Heilbronn,8,2984.485406662989,10000,0.5037676109028577,2.3749172780641423
Davenport_Heilbronn,8,2984.485406662989,100000,0.44757576734349047,
Davenport_Heilbronn,9,2472.1620857953694,10000,0.16704362687967006,2.331094855984152
Davenport_Heilbronn,9,2472.1620857953694,100000,0.3667772109034226,
Davenport_Heilbronn,10,2486.488037510709,10000,0.9455859037009725,2.2824350540947576
Davenport_Heilbronn,10,2486.488037510709,100000,0.981572854620055,
Liouville,1,1083.2269575843536,10000,0.813748256833751,33.12140496020743
Liouville,1,1083.2269575843536,100000,0.7284244240642903,
Liouville,2,2433.9595478877973,10000,0.7995581189135387,29.0298559931449
Liouville,2,2433.9595478877973,100000,0.596602129136491,
Liouville,3,1735.398854720764,10000,0.7964208661021198,26.311246252764576
Liouville,3,1735.398854720764,100000,0.6386920935554083,
Liouville,4,2742.3086038560587,10000,0.8498678322451991,25.94300354920272
Liouville,4,2742.3086038560587,100000,0.8680967733808933,
Liouville,5,1890.2555708818154,10000,0.8833975258025145,20.78604510622852
Liouville,5,1890.2555708818154,100000,0.7756783837909165,
Liouville,6,2633.8406837256302,10000,0.6406162103606342,19.593034277825566
Liouville,6,2633.8406837256302,100000,0.9847786247378671,
Liouville,7,2941.50755151697,10000,0.7531328968485337,18.53997960497264
Liouville,7,2941.50755151697,100000,0.6256969641374878,
Liouville,8,1609.8762301673125,10000,0.9986336293810738,16.98257156119457
Liouville,8,1609.8762301673125,100000,0.6876419341093623,
Liouville,9,1364.2884864757773,10000,0.614995676057138,16.637002899052032
Liouville,9,1364.2884864757773,100000,0.3838133542318457,
Liouville,10,2668.6322807485976,10000,0.9804659157216411,16.57921668333382
Liouville,10,2668.6322807485976,100000,0.9624948254591335,
