Term Type,N=10⁴ (%),N=10⁵ (%),N=10⁶ (%),Expected at 10⁵,Abs. Deviation,Rel. Deviation,Monotonic
Diagonal,2.607612619552654,3.2258505934614203,3.35066137713022,2.979136998341437,0.24671359511998325,0.33202881049731,Increasing
Mixed Diagonal,15.158192709281199,18.489516861523498,21.932714634178485,18.54545367172984,0.05593681020634378,0.008256938397493176,Increasing
Three Equal,18.3101990169833,19.56603089927774,19.336042006696072,18.823120511839686,0.7429103874380552,0.724195022910928,Non-monotonic
Two-Two,50.38407228984507,48.65648019295313,47.061899443301826,48.72298586657345,0.06650567362031978,0.02001872770994429,Decreasing
Four-Index,13.539923364337772,10.06212145278417,8.318682538693306,10.929302951515538,0.8671814987313677,0.16608724395016392,Decreasing
