L_function,k,alpha_4pt,beta_4pt,se_alpha_4pt,se_beta_4pt,R2_4pt,alpha_3pt,beta_3pt,pct_change_alpha,pct_change_beta
zeta,M_1,11.356329359610292,-265.72114173790624,0.28084770154409133,13.136180322476282,0.9998301030205091,9.664646571873137,-208.76180260663241,17.503824637110192,27.284368318375602
zeta,M_2,12.473278383216716,-160.71086943527462,0.1071710891644557,5.012747994305572,0.9999891002828403,11.827734603132926,-138.9752654790169,5.457881849266369,15.639908210529335
zeta,M_3,13.492603133875914,-108.92467729922782,0.08248572427812541,3.8581314434485576,0.999995675386215,12.995751355391649,-92.19556640810822,3.823186246773891,18.145244443824303
zeta,M_4,16.08595954543023,-61.234045785842,0.025053454454457183,1.1718333232042792,0.9999997693807439,15.93505036069786,-56.15289966701874,0.9470267198186822,9.048768895202148
L(Δ),M_1,0.18248012519431356,5.2105277334064795,0.008010666075343611,0.3746854736225663,0.9999387281800327,0.13422797342840168,6.8351885127011025,35.94791050887019,-23.76907054246842
L(Δ),M_2,0.8158823099567591,-0.8718397164441285,0.033861273523734144,1.5838042914751482,0.9998544303556073,1.019845288026338,-7.739318963919012,-19.999403876670304,-88.7349297721327
L(Δ),M_3,1.8448827956304825,8.667401013324024,0.04428183051718232,2.071208371957132,0.9999612642913324,2.111613874729717,-0.31349428300360926,-12.631621826853904,-2864.771634838469
L(Δ),M_4,1.9700414424142387,139.11211021393166,0.22988213521542034,10.752351415030365,0.9998216862360021,0.5853491368905709,185.7350109105185,236.55835778272132,-25.101837541576018
L_DH,M_1,0.12187062824632733,2.3813986024406404,0.014386234535474387,0.6728919979776249,0.9994299383923553,0.035215315739799795,5.2991024227787955,246.07279726471702,-55.06034017753786
L_DH,M_2,0.41135486723872106,3.3545886415856785,0.07381264092355405,3.45246251231212,0.9980957340340797,-0.033254696882060605,18.324692450255036,-1336.9827597515355,-81.69361559168219
L_DH,M_3,1.1537516669998418,20.11133794694865,0.11304076258256769,5.287292126340279,0.9995813559842707,0.4728519789401928,43.037383259761604,143.9984854426866,-53.27007261207717
L_DH,M_4,2.4183272484854665,31.59061600643986,0.425073212700416,19.882086773675628,0.9984539599481412,4.9787506861705,-54.619415781998285,-51.42702655903486,-157.8377039632336
