Function,Coefficient,Mean_r,Median_r,Std_r,Pct_r_negative,Corr_r_height,Min_r,Max_r
Zeta,a_n = 1,-0.043156,-0.036228,0.314720,56.000000,0.094384,-0.999526,0.812009
"L(s,χ₄)",χ₄(n),0.009660,-0.020813,0.233060,52.500000,-0.157045,-0.737493,0.811107
f_rand,random multiplicative,-0.040666,-0.041971,0.474525,55.000000,-0.095882,-0.937589,0.995748
"L(s,μ)",μ(n),-0.002493,-0.010135,0.175827,56.500000,0.043001,-0.756187,0.509044
"L(s,λ)",λ(n),-0.007108,-0.026208,0.363016,53.500000,-0.095424,-0.937688,0.941118
