,N_peaks,Mean_r,Median_r,Std_r,%_r<0,"Corr(r,h)",Min_r,Max_r
zeta,200.0,-0.04315568112599598,-0.03622803904140881,0.3147203432386219,56.0,0.09438423916872361,-0.9995259193888415,0.8120092033724093
chi4,200.0,0.009659512225396738,-0.020812972390992092,0.23305959742728477,52.5,-0.1570446028659471,-0.7374933086953557,0.8111074848408336
f_rand,200.0,-0.04066560323365211,-0.04197096914634478,0.4745248727295405,55.0,-0.09588206579534043,-0.9375892745368377,0.9957483804635927
mobius,200.0,-0.0024928427940354423,-0.010135172309724938,0.17582671269506037,56.5,0.04300108640734202,-0.7561869236506913,0.5090438114225699
liouville,200.0,-0.007108203159457105,-0.02620842608843586,0.3630155462281653,53.5,-0.09542447936909768,-0.9376875721186831,0.9411184085979986
