Function,Sparsity,Phase,Delta_Entropy,Delta_Frac_k_geq_4,p_value_Entropy,p_value_Frac,Mechanism_Present
f_real_rand,100%,Real,0.026893083196192213,0.02319927788133541,0.5948574087420573,0.46545264859951996,No
f_sparse_rand,60.8%,Complex,0.11370341287382879,0.04904499727046064,4.705523917558279e-05,5.1719774458337715e-05,Yes
