Function,N,Sparsity,Phase,Mean_Entropy,Std_Entropy,Mean_Frac_k_geq_4,Std_Frac_k_geq_4,Top_Peak_t,Top_Peak_Magnitude
f_real_rand,100000,100%,Real,1.595855479519161,0.23601808066684674,0.1785972219584643,0.12349867293726798,160921.36554239472,28.41644746249605
f_real_rand,1000000,100%,Real,1.6227485627153533,0.26226115609336004,0.20179649983979972,0.1840207578535933,1482965.9318637275,27.392697865503806
f_sparse_rand,100000,60.8%,Complex,1.2117090358820581,0.12006045308326807,0.021073134254529786,0.020438241456787624,199787.5491294956,13.469949717472778
f_sparse_rand,1000000,60.8%,Complex,1.325412448755887,0.14317847800678113,0.07011813152499043,0.07845749394420463,1913827.6553106213,14.538300174461224
