N,log10(N),ζ: ξ(N),ζ: CI_low,ζ: CI_high,L_DH: ξ(N),L_DH: CI_low,L_DH: CI_high
10000.0,4.0,-0.26490056180170474,-0.41531225168762076,-0.11448887191578869,-0.01930261083388365,-0.2102934661326944,0.1716882444649271
30000.0,4.477121254719663,-0.2744081018892818,-0.44380629893252166,-0.10500990484604189,-0.14973074796054744,-0.3434128474870585,0.04395135156596364
100000.0,5.0,-0.24037261201228702,-0.4070214648282955,-0.07372375919627858,-0.0019852127041238773,-0.20554049154591428,0.2015700661376665
300000.0,5.477121254719663,-0.2045705589251715,-0.35881734113873703,-0.05032377671160598,-0.0025709842147502854,-0.18856119767950108,0.18341922925000048
1000000.0,6.0,-0.24682915116027387,-0.40046565050441585,-0.09319265181613187,-0.09095503990463444,-0.2863820730570428,0.1044719932477739
3000000.0,6.477121254719663,-0.23728684508915374,-0.3909549352862224,-0.08361875489208506,-0.04235063001985276,-0.24012306708571401,0.1554218070460085
10000000.0,7.0,-0.17242944721661813,-0.32851429207580884,-0.01634460235742738,-0.049696273484766906,-0.23108978586636683,0.13169723889683302
