function,lambda_min_Q10,lambda_max_Q10
zeta,4.572434966685093e-09,92291451.70280163
zeta_delta_strong,4.572434966685093e-09,92291451.70280163
L_DH,4.631580695352157e-09,96075569.24702425
L_chi5,2.898583724323225e-09,94121438.07751851
L_DH+offline,1.954650413341199e-09,98357107.14716803
