,zeta,L_chi5,L_DH,L_DH+offline,zeta_delta_weak,zeta_delta_strong
zeta,0.0,0.0,0.0,0.0038857198130759565,4.0000000000000074e-06,0.0040000000000000036
L_chi5,0.0,0.0,0.0,0.0038857198130759565,4.0000000000000074e-06,0.0040000000000000036
L_DH,0.0,0.0,0.0,0.0038857198130759565,4.0000000000000074e-06,0.0040000000000000036
L_DH+offline,0.0038857198130759565,0.0038857198130759565,0.0038857198130759565,0.0,0.0038817198130759564,0.005295955984208999
zeta_delta_weak,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,0.0038817198130759564,0.0,0.003996000000000004
zeta_delta_strong,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.005295955984208999,0.003996000000000004,0.0
