k,I_k_computed,I_k_leading_asymptotic,ratio,asymptotic_formula,integration_range,grid_size
1,37432.75914875891,46867.839733878514,0.7986875298991125,T log T,"[0.5, 5447.862]",4000
2,1645937.1847297046,1511790.8423659855,1.0887334005501563,T (log T)^4 / (2 π^2),"[0.5, 5447.862]",4000
