t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness
22299.040000019886,F1,1,0.47342591550926577,3.044498922232313,4.557116275709731,23.696543665715524
24329.62000002317,F1,1,0.47342591550926577,3.0645091930420802,4.660456291033142,24.100112443567333
26296.93000002635,F1,1,0.47342591550926577,3.030568146037658,4.810799839775946,23.80797060745652
28327.240000029633,F1,1,0.47342591550926577,3.03736523326703,4.988045985666256,24.491607042331413
28807.75000003041,F1,1,0.47342591550926577,3.020980284620856,5.0174121629423505,24.06175003796642
30774.97000003359,F1,1,0.47342591550926577,3.1453308748432875,4.744261607528158,26.029831884795804
32324.860000036097,F1,1,0.47342591550926577,3.079803898574646,5.017554949017052,25.0844357309479
34155.55000003906,F1,1,0.47342591550926577,2.996358523432347,5.330753240018629,24.016960001283216
35253.01000004083,F1,1,0.47342591550926577,3.0321371647412696,5.271278949936177,24.659786577465976
35533.81000004128,F1,1,0.47342591550926577,3.037845969757487,5.29872342124035,24.69966364337024
36603.100000043014,F1,1,0.47342591550926577,3.0955554103050322,5.0711111550777455,25.44499558992453
36974.620000043615,F1,1,0.47342591550926577,3.031693312214353,5.436730185776347,25.069300322245457
37981.45000004524,F1,1,0.47342591550926577,3.1330262910479965,5.031624650310735,26.145910773809007
38352.79000004585,F1,1,0.47342591550926577,3.0672124270860333,5.294773481232597,25.73609684141314
39422.26000004757,F1,1,0.47342591550926577,3.1287070629828375,5.176846674614566,26.51510823846606
39703.15000004803,F1,1,0.47342591550926577,3.0337346451583325,5.378405135978171,24.572060559019217
40429.0000000492,F1,1,0.47342591550926577,3.0632221021012596,5.334807014402034,25.227574843229828
40800.7000000498,F1,1,0.47342591550926577,3.141685328616977,5.095734852190792,26.938766488918812
41452.75000005086,F1,1,0.47342591550926577,3.129482585613618,5.1804021410233645,26.64069907927727
41869.72000005153,F1,1,0.47342591550926577,3.016489807410051,5.582406842220775,24.93176430745859
41978.980000051706,F1,1,0.47342591550926577,3.0081198271849026,5.754886111988538,25.272211982185258
42631.12000005276,F1,1,0.47342591550926577,3.0134670144491564,5.705215570069177,25.51365643212923
43111.54000005354,F1,1,0.47342591550926577,3.003391250791817,5.6347837113709405,24.444826643219617
43248.16000005376,F1,1,0.47342591550926577,3.046830348600718,5.576010334520546,25.490764045030783
43528.870000054216,F1,1,0.47342591550926577,3.0033949919516636,5.853965669293084,24.97760137276019
44426.620000055664,F1,1,0.47342591550926577,3.03902889123626,5.6171520094711935,25.283190640074242
45079.03000005672,F1,1,0.47342591550926577,3.1371048427234505,5.259333095446898,27.139185693202585
45930.880000058096,F1,1,0.47342591550926577,3.0164044693053182,5.666827422326426,24.83672746158903
46148.23000005845,F1,1,0.47342591550926577,3.0268335087392595,5.7357301238483895,25.40877168576093
46348.030000058774,F1,1,0.47342591550926577,3.0623499681459703,5.598318702383307,25.712668935172506
46628.65000005922,F1,1,0.47342591550926577,3.116061404863711,5.533601767543522,27.283260088530028
47526.67000006068,F1,1,0.47342591550926577,3.0355207927826124,5.8528052224726235,25.706614546795016
48179.08000006173,F1,1,0.47342591550926577,3.021450285504242,5.826102816343509,25.897676008699474
48378.43000006206,F1,1,0.47342591550926577,3.019146701497004,5.84937704636102,25.191169553556804
48596.0500000624,F1,1,0.47342591550926577,3.0266815518798817,5.8434104617745755,25.640663203770625
48904.75000006291,F1,1,0.47342591550926577,3.0463920504319497,5.643003028296441,25.511047686646105
49447.81000006378,F1,1,0.47342591550926577,3.131869392813218,5.476504390412907,27.140663003425214
50626.450000065684,F1,1,0.47342591550926577,3.1652019856118665,5.505074721683371,28.44639481709304
51106.780000066465,F1,1,0.47342591550926577,3.1400921747095407,5.48669943787836,27.662419712096863
52285.42000006837,F1,1,0.47342591550926577,3.0552751687603275,5.7781474885836435,25.673303840184197
52656.94000006897,F1,1,0.47342591550926577,3.1594330671155797,5.534408168422448,28.239030921558196
53074.09000006964,F1,1,0.47342591550926577,3.0849477297410304,5.939036099516228,27.174670248663706
53445.70000007025,F1,1,0.47342591550926577,3.0853786707423145,5.615276928282643,25.873259260003646
53726.1400000707,F1,1,0.47342591550926577,3.0998661604768447,5.69012995256224,26.57214103533321
53925.94000007102,F1,1,0.47342591550926577,3.0935256463289322,5.628419110842507,26.372679697616558
54624.070000072155,F1,1,0.47342591550926577,3.1320000345558463,5.62983660337008,27.372613255406847
55104.58000007293,F1,1,0.47342591550926577,3.212020077354231,5.492203091301243,29.551142276930065
55756.72000007398,F1,1,0.47342591550926577,3.091024338149006,5.76910939996072,26.511156151440797
56174.050000074654,F1,1,0.47342591550926577,3.0066094256140743,6.365698052442483,26.716887191161643
56373.58000007498,F1,1,0.47342591550926577,3.1318153967589715,5.537316580364955,26.914587941280647
56826.190000075716,F1,1,0.47342591550926577,3.1324853058529927,5.596669722764132,27.104598597207755
57551.95000007689,F1,1,0.47342591550926577,3.1594933763377844,5.690884547661272,28.29660873230502
57832.93000007734,F1,1,0.47342591550926577,3.09595611338045,5.91288446853375,27.142181580430055
58204.54000007794,F1,1,0.47342591550926577,3.11700239018701,5.842664274343611,27.6008357102114
58930.480000079115,F1,1,0.47342591550926577,3.0264525198392307,5.983760753718339,25.312874317421002
59273.83000007967,F1,1,0.47342591550926577,3.142182309623964,5.66312219966697,27.852582269161992
59582.71000008017,F1,1,0.47342591550926577,3.0763522990912446,6.060393296998482,27.13940033918343
59800.150000080524,F1,1,0.47342591550926577,3.089913021865499,5.736171062990716,25.98609764122504
59999.68000008084,F1,1,0.47342591550926577,3.0166600426234114,6.274644622968139,25.92655511663991
60280.7500000813,F1,1,0.47342591550926577,3.017264131468761,6.249018669167725,25.693202780448065
60652.0000000819,F1,1,0.47342591550926577,3.1378147459522996,5.996735006712352,28.60090220865928
60932.710000082356,F1,1,0.47342591550926577,3.013977095424365,6.285445362971538,25.87195128994996
61549.75000008335,F1,1,0.47342591550926577,3.084833000694948,6.011192194073419,26.933684700594476
61721.29000008362,F1,1,0.47342591550926577,3.014092659067416,6.283222272580328,26.143578747845716
62310.88000008458,F1,1,0.47342591550926577,3.0808674307151893,5.981867151986512,26.799083399420564
62482.96000008486,F1,1,0.47342591550926577,3.095655332915081,5.87948923594176,26.76541012580997
63099.73000008585,F1,1,0.47342591550926577,3.1750718947779593,5.803996589457677,29.11015242682615
63751.870000086914,F1,1,0.47342591550926577,3.260780628542958,5.4799990227542,30.544760572934184
64278.190000087765,F1,1,0.47342591550926577,3.1057150024018685,6.041136764753312,27.644890299608285
64649.53000008836,F1,1,0.47342591550926577,2.998347259908145,6.498317756088862,26.643153608780434
64930.420000088816,F1,1,0.47342591550926577,3.058377478292213,6.345774720006087,27.676842779645895
65130.22000008914,F1,1,0.47342591550926577,3.044970010509821,6.327665644604398,26.708333478820894
65302.21000008941,F1,1,0.47342591550926577,3.0302981702025598,6.163386652397968,26.09874761928325
65410.750000089596,F1,1,0.47342591550926577,3.119470222178336,5.850767190335944,27.53247927816266
65547.28000008981,F1,1,0.47342591550926577,3.0007563571336875,6.440723933682296,26.28621277881582
66308.77000009104,F1,1,0.47342591550926577,3.159404019510315,5.871467282874905,28.721412891954913
66480.31000009133,F1,1,0.47342591550926577,3.046390727907535,6.26592857438378,26.30144142382362
66725.74000009173,F1,1,0.47342591550926577,3.155749788168244,5.725790661352187,27.983302418093764
66960.82000009209,F1,1,0.47342591550926577,3.0123499086643193,6.423824366789288,25.93644461401352
67378.06000009278,F1,1,0.47342591550926577,3.0226022346233807,6.680099804299941,27.67350043425248
67577.77000009309,F1,1,0.47342591550926577,3.0098160659734536,6.704101607084832,26.689361363585167
67749.67000009338,F1,1,0.47342591550926577,3.0600784056178156,6.479849093259458,28.134480634479626
68030.38000009384,F1,1,0.47342591550926577,3.005390835442478,6.458253804456859,25.970698579427285
68229.82000009416,F1,1,0.47342591550926577,3.196288842776705,5.731774495504762,29.560215879364673
68601.61000009475,F1,1,0.47342591550926577,3.009543358706935,6.075449779835413,24.57883714706357
68756.410000095,F1,1,0.47342591550926577,3.0992501875772773,6.177472843869096,28.153538190974214
68927.95000009528,F1,1,0.47342591550926577,3.0952827834848793,6.2204993895195875,27.829380539043658
69127.8400000956,F1,1,0.47342591550926577,3.084454353256112,6.178035891054342,27.164073117162495
69236.56000009578,F1,1,0.47342591550926577,3.025286763236374,6.263774097560333,25.510196183930137
69544.99000009628,F1,1,0.47342591550926577,3.0170629416134718,6.371618065839605,25.91125911592157
69689.35000009651,F1,1,0.47342591550926577,3.008749470762935,6.209053534305671,24.98289716045287
70197.13000009733,F1,1,0.47342591550926577,3.120511702492967,6.124865205661674,27.90506339017524
70478.20000009779,F1,1,0.47342591550926577,3.074868366353247,6.405523921086372,27.572881210214803
70677.55000009811,F1,1,0.47342591550926577,3.180258258226307,5.907065253572916,29.052918948146573
71129.98000009885,F1,1,0.47342591550926577,3.052536482739933,6.061700140683207,25.960146712853724
71575.57000009956,F1,1,0.47342591550926577,3.1244389657690586,6.054015226229894,27.94085648762273
71855.92000010001,F1,1,0.47342591550926577,3.0368515333858386,6.604240046468249,26.817548240356025
72227.71000010062,F1,1,0.47342591550926577,3.130620188128596,6.172142544345771,28.36586379301144
