t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness,q,d,norm_amplitude,norm_curvature,norm_roughness,norm_xi
22299.04000001989,F1,1,0.4734259155092657,3.044498922232313,4.557116275709731,23.696543665715524,1,1,2.836650485554231,1.7946119821465645,9.331800775991674,0.4734259155092657
24329.62000002317,F1,1,0.4734259155092657,3.06450919304208,4.660456291033142,24.100112443567333,1,1,2.84993987735253,1.8037740751213824,9.327661353000305,0.4734259155092657
26296.93000002635,F1,1,0.4734259155092657,3.030568146037658,4.810799839775946,23.80797060745652,1,1,2.813713728006438,1.833622931525795,9.074341546697468,0.4734259155092657
28327.240000029637,F1,1,0.4734259155092657,3.03736523326703,4.988045985666256,24.491607042331413,1,1,2.815610483399561,1.8736983455926637,9.19997203874865,0.4734259155092657
28807.75000003041,F1,1,0.4734259155092657,3.020980284620856,5.017412162942351,24.06175003796642,1,1,2.7994361181772627,1.8785604449042752,9.008917423676483,0.4734259155092657
30774.97000003359,F1,1,0.4734259155092657,3.1453308748432875,4.744261607528158,26.029831884795804,1,1,2.910663791332651,1.7536577937814755,9.621606338731562,0.4734259155092657
32324.860000036097,F1,1,0.4734259155092657,3.079803898574646,5.017554949017052,25.0844357309479,1,1,2.8471362673536422,1.837168080926888,9.184617831038883,0.4734259155092657
34155.55000003906,F1,1,0.4734259155092657,2.996358523432347,5.330753240018629,24.016960001283216,1,1,2.7668689810150084,1.9313003024943998,8.701202255483144,0.4734259155092657
35253.01000004083,F1,1,0.4734259155092657,3.0321371647412696,5.271278949936177,24.659786577465976,1,1,2.7981037076949997,1.898234716168657,8.8802097971352,0.4734259155092657
35533.81000004128,F1,1,0.4734259155092657,3.037845969757487,5.29872342124035,24.69966364337024,1,1,2.8029199657433543,1.9052295704429214,8.881106978466757,0.4734259155092657
36603.10000004301,F1,1,0.4734259155092657,3.095555410305032,5.0711111550777455,25.44499558992453,1,1,2.854450704022824,1.8131143874120605,9.097550059720847,0.4734259155092657
36974.620000043615,F1,1,0.4734259155092657,3.031693312214353,5.436730185776347,25.069300322245457,1,1,2.794992032408248,1.9401064376501254,8.946022568826,0.4734259155092657
37981.45000004524,F1,1,0.4734259155092657,3.1330262910479965,5.031624650310735,26.145910773809007,1,1,2.886849086224347,1.786406926313249,9.282734573258786,0.4734259155092657
