rank,M_f_rand_pos,M_riemann_zeta
1,1.8672835272683825,1.8210784645972633
2,1.8098353648074046,1.9479799774591404
3,1.925920275165312,1.6821968159671201
4,1.7629761597721147,1.6943853382202179
5,1.785000292255138,2.0169482837155663
6,1.7402931679218894,2.0421835047388353
7,1.7942699452838502,2.041366944791758
8,1.7345915367494704,1.867138058055888
9,1.6054648766770783,1.5964713974749423
10,1.8130723506626771,1.752104692145474
