L_function,total_N1e4,total_N5e4,pure%_N1e4,pure%_N5e4,diag_cross_x4%_N1e4,diag_cross_x4%_N5e4,off_diag%_N1e4,off_diag%_N5e4,delta_off_diag_pp
zeta,85022.92665612107,85933.3116148635,23.31046382481202,27.025490348017044,85.32031735545935,105.14031522612612,-8.63078118027138,-32.165805574143164,-23.535024393871783
L_Delta,45405.7576512728,64001.99392305647,15.565846774859937,13.527605251577752,46.985609798210014,46.63043484158429,37.44854342693006,39.84195990683796,2.3934164799078985
L_DH,26507.495161690218,26508.879396354125,18.79616827318834,22.29099033496514,58.64365598023281,72.55672087982127,22.560175746578867,5.152288785213586,-17.407886961365282
