function,GRH_label,xi
F1,1.0,0.47342591550926577
F2,1.0,0.33901207732089944
F3,,0.34594374503189584
F4,0.0,0.08827739856361017
F5p,0.0,0.085025072025679
F5m,0.0,0.09161385786188538
F6,1.0,0.34509525129517293
F7,1.0,0.17060991428888223
F8,,-0.06132213545623624
F9,1.0,0.0544273189940465
F10,1.0,0.32653149062991005
F11,1.0,0.15938010521719825
F12,0.0,0.35286432847517957
