Range,t_min,t_max,t_center,n_points,n_blocks,xi,ci_lower,ci_upper,loc,scale
Low-t,50,550,300.0,5000,100,0.7905404054950234,-0.08220601302600741,0.8012830650318686,0.007842336896805038,0.0031181029517063463
Mid-t,1000,10000,5500.0,5000,100,0.7339000372636209,-0.28926560171152726,0.7382185107601545,0.014352744772315976,0.003771857573744047
High-t,10000,20000,15000.0,5000,100,-0.17222296426945055,-1.6213789612955125,0.7465643877133893,0.01595247071559045,0.0032356210868064485
