N,R_comp_zeta_max,R_comp_f_rand_max,R_comp_f_fully_rand_max,R_comp_f_rand_at_peak,R_comp_f_fully_rand_at_peak,alpha_zeta,alpha_f_rand,alpha_f_fully_rand
10000,0.021095238129575578,0.0476145057246427,0.03415521855676363,0.05884042753924215,0.04305560258373504,-0.707005871891563,-0.519772865975335,-0.5417192511826253
25000,0.010156397731397638,0.02375926249336613,0.02376458463760999,0.033239218759504155,0.016443674778538413,-0.707005871891563,-0.519772865975335,-0.5417192511826253
50000,0.006159286132274734,0.01853970406031192,0.01680812911801175,0.021531406826100913,0.012305613431275881,-0.707005871891563,-0.519772865975335,-0.5417192511826253
75000,0.004394064666742386,0.015668470436687277,0.01295300091342646,0.017819766777027984,0.004059925270054032,-0.707005871891563,-0.519772865975335,-0.5417192511826253
100000,0.004502758417483151,0.01390457168030794,0.009225311105598417,0.01418573887227555,0.005504209619495403,-0.707005871891563,-0.519772865975335,-0.5417192511826253
