peak_idx,t,baseline_magnitude,S2_magnitude,S3_magnitude,S4_magnitude,S2_reduction,S3_reduction,S4_reduction,S2_S3_ratio,S2_S4_ratio,S3_S4_ratio
1,1831180.5991021013,9.575233184645624,2.0883565357903384,2.36907136971683,1.7178353192794886,38.90511766824306,49.24272987986576,34.95326849192662,0.881508494207988,1.2156907663688377,1.379102724881969
2,1220970.1363112614,8.695597333279798,2.5455999608658617,1.5394489006036984,1.2081267332720778,57.70172013902222,34.93057605495198,27.071843920961843,1.6535787318874948,2.1070636802907137,1.2742445458799436
3,1299289.5904560825,8.23321335399288,2.455754281663729,0.925816834799704,1.2901220982607644,59.646510342632155,20.816558997323522,30.915682308919784,2.652527140743795,1.9035053232359738,0.7176195462800098
4,1155471.9076526503,7.956812994296,2.1004579679796684,2.389960891876813,1.741120960678252,44.423320420413766,59.476105031052,38.39927120629107,0.8788670873732161,1.2063825635419592,1.372656435625131
5,1364446.343784005,7.5883113981541905,1.9293800421732812,1.2846478685701057,1.2900936898622135,45.0319710297193,31.76878061108268,33.8523429334031,1.5018746299099093,1.4955348261406858,0.9957787396877436
6,1331414.5437836284,7.3757671353611185,1.3969768126297337,1.373460399748541,1.0227980415289732,19.883586317970206,30.843879034574986,27.34684736373877,1.0171220174134603,1.3658383726873424,1.342846137733472
7,1045627.4550405361,7.216120305892611,2.497269061529006,1.6472449329634982,0.9989655517649497,55.22021520171361,44.4300674704164,26.769925258959372,1.5160277694928226,2.4998550321549002,1.6489506870914448
8,1451789.2372716616,7.195275229106505,1.3358286461532756,1.9755676901108807,1.1952261707149332,37.10876881306834,39.42033016796245,29.145679581494253,0.6761745764723965,1.1176367108446428,1.6528818883953826
9,1325849.5579964647,7.016749525555156,1.4656030214801947,1.3753474716684613,0.9638437612876777,41.75543455775234,34.901229323107216,23.523141825730512,1.0656238162871254,1.5205815302701922,1.4269402644999456
10,1211724.2618788404,6.861308197325229,2.3906744598359593,1.4097533105333766,0.7985201203125963,61.586128512799405,40.00868093581237,19.999549644127583,1.6958104953351403,2.9938813049570787,1.7654574689758613
11,1324376.714981058,6.340917141229392,4.072779412634767,0.9481853805957895,2.2418591164732997,71.06986581111609,-10.748826658494899,57.92290352471348,4.295340864753312,1.8166973039062837,0.4229460154870897
12,1115253.9559645702,6.055288754282707,2.4225771003214147,1.5688568847058988,1.1824393659084007,52.61554116963906,40.44262576087291,36.976838855445976,1.5441670454061565,2.0487960483794336,1.3267968996453663
13,1594767.0489055032,6.0069402035926345,1.6808596048027928,1.2360932455388571,1.0574593465698474,53.66000632613331,40.6917730971171,35.11118802923076,1.3598161877100512,1.589526453433043,1.1689274387223079
14,1540505.492576779,5.614125512334532,1.7080482307173288,1.2460074809460684,0.771666534963777,58.377865696750575,34.950687298818664,20.848753327761997,1.3708169949513,2.2134538085126456,1.614696795170154
15,1849160.7686431154,5.405730852609651,3.095869520736241,1.849832133554864,1.7419526995432375,63.158725495421365,65.57570578689668,5.721012541726695,1.6735948438666373,1.7772408639729529,1.0619301741315443
16,1609816.2551336517,5.112099450850855,2.561219213611824,0.8497149433536454,0.37558811543213844,85.72418112244775,28.688576549298027,6.803437783454572,3.01420992256913,6.819223261803627,2.2623584411769615
17,1006626.0604342914,4.941022370365994,3.0949670615402067,1.2186884617222364,1.7513942876024287,73.83130332804804,-36.6681465336919,68.95535179913279,2.5395883843574225,1.767144659228655,0.6958390068695268
18,1648477.0944789827,4.363390107258081,1.5353582769696823,1.372321969641122,0.6992187689920345,40.740704357864715,61.79815636358326,12.437969140974944,1.1188032480243657,2.1958195990405014,1.9626503613731734
19,1975223.489077033,3.710857671697267,1.7347446156702755,0.7689774553712019,0.3841211444280976,85.62476687096209,37.83248116979737,10.54002100611492,2.2559108899140314,4.516139350394435,2.0019138923375364
20,1688366.2250329126,3.6979188644235252,1.4118418051600394,0.6331255524335818,0.21323306151112187,72.59094636602873,34.10478625793033,-5.029701499426721,2.229955495767404,6.621120548355491,2.969171609443684
