function,t,M,R_comp,peak_mag
zeta,9654.0,2.0010952768729275,0.0013476524715197945,15.710188352791121
zeta,9826.0,2.0342868525550855,0.0009868702419823395,15.661042671435704
zeta,7578.0,1.8312669723566841,0.0014395039704308955,15.417136197388933
zeta,6726.0,1.8359122120095488,0.0011978651066117856,15.222039108966094
zeta,8476.0,1.9420321656472146,0.0033787240373244092,15.122170302929147
zeta,4478.0,1.7294654650934165,0.0021518722431969096,14.597083731030942
zeta,8956.0,1.911766556172103,0.0015221593544372317,14.437149928045395
zeta,9128.0,1.9218405263212026,0.0018255248974857218,14.28715705487012
zeta,9174.0,1.9773487899159083,0.004903463253799552,14.00610649825162
zeta,8104.0,2.028771711907406,0.004074402822089568,13.853991703078066
zeta,5176.0,1.7388715901916618,0.0016546885028920102,13.82252242025219
zeta,6028.0,1.805366331418384,0.0006477270307128173,13.709718143630026
zeta,3100.0,1.6943853382202179,0.001757324689870963,13.39781914282395
zeta,9436.0,1.9803381430220488,0.0027800846636217885,13.166028331130384
zeta,5828.0,2.0882034794372077,0.0017602915219969235,12.924921938073803
zeta,3626.0,1.8315119029274178,0.0014754361309653888,12.829039504071934
zeta,3826.0,1.9478038279813563,0.0016178497978950842,12.81409110552553
zeta,7378.0,1.748842021397978,0.0006230853385957581,12.792926434157884
zeta,9328.0,1.9208835006952105,0.001280350331597692,12.737549781460997
zeta,5130.0,2.0421835047388344,0.0013567882539125907,12.640744026566642
zeta,7714.0,1.7865217657562578,0.004835792167975183,12.390232941875663
zeta,6200.0,1.5964713974749425,0.0011668096290910197,12.176673816287881
zeta,6926.0,1.5311106012739009,0.0006334338426910263,12.066703062394003
zeta,8230.0,1.7521046921454748,0.0017794262450899594,11.966675097217836
zeta,6074.0,2.063064438840502,0.0030326012042060993,11.845017098045998
zeta,7452.0,2.0903668174334595,0.0036402543771373963,11.686447072553863
zeta,3998.0,1.8421053493858481,0.003883835981593389,11.685389154418424
zeta,6680.0,2.0569310918931736,0.0024364895272130146,11.644231747153631
zeta,6852.0,2.202633458045242,0.0034130787992968153,11.609676450269149
zeta,4850.0,1.8075365833234154,0.0006437821052744106,11.507763819089927
zeta,5348.0,1.8464925436091395,0.001144754487017551,11.469098813029982
zeta,3952.0,1.7137595418292753,0.0011504220885841597,11.450820114987442
zeta,5376.0,1.8423576624537858,0.0010898910449861213,11.427573492898048
zeta,1550.0,1.5902600335084285,0.0022533880066994195,11.216253043494767
zeta,2448.0,1.7228865557556234,0.0012412532732977001,11.172287065810135
zeta,8802.0,1.6208917748552683,0.0012729572084703717,11.147773139427727
zeta,3752.0,1.9060518960012238,0.0017360046643207308,11.075522236572436
zeta,2974.0,1.990794669152396,0.001358491830214099,11.033593555757466
zeta,2202.0,1.7306535735761674,0.0024830853665309695,11.014217176235357
zeta,8276.0,1.4727145046580379,0.001768987621035871,10.927430234034823
zeta,2928.0,1.8062476319183478,0.0018650688144042217,10.806174810006556
zeta,4650.0,1.4326171110478398,0.0013804529441655013,10.78376044673612
zeta,7234.0,1.7403697733850072,0.00142372304713494,10.553659003412962
zeta,8304.0,1.7760826018517437,0.003064873865763514,10.379089301364807
zeta,5502.0,1.6278939894749538,0.0012022527585554986,10.351949374221036
zeta,7824.0,1.4371119807165444,0.0032284645416534724,10.215778472101587
zeta,9002.0,1.9206411885933174,0.0017768155026161973,10.161655441664477
zeta,9264.0,1.8475167954730594,0.0035927317677661333,10.15790702780562
zeta,7968.0,2.0702035584625156,0.002037918948086013,10.081580909270187
zeta,5702.0,1.7319092164174508,0.0026269092383310925,10.050920430702181
chi4,7312.0,1.9917704169247727,0.1944119484725002,10.890697533887218
chi4,7964.0,1.9012406554402501,0.19484571697397796,10.84551986351429
chi4,5688.0,2.02768264870795,0.19350751586515244,10.38311265530268
chi4,6992.0,1.9980059630240221,0.1990483473277178,9.90811289020291
chi4,9514.0,1.8965279655691074,0.19622015882547253,9.208903831570026
chi4,3486.0,1.9794444991945304,0.1982780963258843,9.168627550269754
chi4,3560.0,2.0928026535525204,0.19863361108225236,8.819673883763555
chi4,4458.0,2.0292252243551827,0.20016742646017305,8.787052421960595
chi4,9010.0,1.5714782486102774,0.1992375877171663,8.743297316241938
chi4,9576.0,2.196341769106291,0.2019076348351564,8.724170666556095
chi4,6906.0,1.9894841489580544,0.19836087318350126,8.64786337977877
chi4,3240.0,1.886848590709952,0.1984870879340394,8.616931149505579
chi4,8936.0,1.5528959353460023,0.1994864345324735,8.358370279516452
chi4,9720.0,1.9330389174690061,0.19961797597947478,8.314966556524189
chi4,6414.0,1.7766341052743222,0.1959680913224132,8.24871672617333
chi4,4544.0,1.7799351016213205,0.19770181190976402,8.148088578112839
chi4,6746.0,1.5159617536774372,0.19823091842264434,8.14750382327815
chi4,9772.0,2.0320999543683502,0.2042404391620889,8.125660125957033
chi4,6734.0,1.7648469851556006,0.20071069100936262,8.073938630220233
chi4,2530.0,2.1156331887764694,0.19698179017264017,8.037196803666307
chi4,5556.0,1.7481432003607051,0.1988110424885375,8.034685102857201
chi4,2834.0,2.0026353416777494,0.19641387462764037,7.9633179596646055
chi4,4990.0,2.044329618061271,0.20031735852152793,7.958758955253709
chi4,6340.0,1.6937666352943483,0.19980793377969588,7.956510161121758
chi4,8690.0,1.7213211049712764,0.19848323583538832,7.834117628492442
chi4,6866.0,1.4987919785215702,0.19806909940966352,7.746481421019855
chi4,8370.0,1.6365910473030518,0.1977783978365339,7.734157763861274
chi4,5368.0,1.7511433018482427,0.2025834081939183,7.727420921049894
chi4,9120.0,1.9228289695880492,0.20119673496933785,7.7221447555843135
chi4,9600.0,1.7285247891805755,0.20268883510402433,7.652267662833408
chi4,9194.0,1.6606259174427926,0.1963246804125701,7.60304555854986
chi4,7066.0,1.9577162402209276,0.19893789533640505,7.602876244292389
chi4,7878.0,1.5173114316625411,0.1927276241024437,7.592442407466321
chi4,7844.0,2.0350035514491234,0.20029702776943906,7.589987807905002
chi4,1484.0,2.07815139214381,0.19613395482277413,7.5895684105666135
chi4,4338.0,1.5226602093373873,0.1981800544544681,7.55672451411359
chi4,4642.0,1.8794962412417646,0.20195133608022808,7.5219387778870965
chi4,3366.0,1.6851262984883901,0.19736258646809868,7.502612893043724
chi4,4790.0,1.7302080822671952,0.19913267882059088,7.501503206869615
chi4,8862.0,1.699785153442361,0.1951816505639606,7.496794117649074
chi4,6586.0,1.9339086285842884,0.1973308595048796,7.489704226807723
chi4,6094.0,1.8747687612700925,0.19840969947680567,7.458993379888929
chi4,9382.0,1.6861903122519488,0.19698484832730526,7.457237173944188
chi4,2788.0,1.9055603823294027,0.19931771077063054,7.400060020882511
chi4,2920.0,1.6433350420875623,0.19907842436394044,7.397835546117403
chi4,3646.0,1.8622403865049832,0.1983438762990357,7.379987652375964
chi4,8410.0,1.291831109465431,0.20028007264033149,7.346760690825585
chi4,9062.0,1.592513702542956,0.19780020668836956,7.335430743619629
chi4,2588.0,1.688675650261724,0.19688282989181674,7.279708513765438
chi4,1558.0,1.9820981858303273,0.19515728782758107,7.239070661768913
f_rand,9926.0,1.9344109671633196,0.002570967565545804,27.170598955252323
f_rand,8684.0,2.077908301641044,0.017577421273558734,26.892952859785286
f_rand,7696.0,1.9173806578293495,0.018444377429188467,25.402893175023344
f_rand,8204.0,1.7416766848693648,0.007609306644776827,25.394323909113513
f_rand,6826.0,1.6557734747692976,0.008658033161398498,24.105524614850705
f_rand,1622.0,1.9124251132408163,0.018888768732040807,23.93723626934832
f_rand,7506.0,1.6572244190062,0.019140143845827975,23.815340446012762
f_rand,7478.0,1.8793466357675495,0.013825593534351928,22.613749882515908
f_rand,8720.0,2.051438804587382,0.015152237694891652,21.41226053288571
f_rand,5756.0,1.7912108473813202,0.00969178752600992,20.08563216118871
f_rand,1632.0,1.8822880538004183,0.01664761630484965,19.21154675014081
f_rand,2410.0,0.9730048101619324,0.029833299763687874,18.948321618408546
f_rand,7170.0,1.5828120640068624,0.01592598889695589,18.650311509880556
f_rand,5620.0,1.461766623787343,0.005019639690635959,18.466987820798767
f_rand,4858.0,1.5762904611149569,0.005171768481975264,17.543234112251728
f_rand,9582.0,1.5984300330316985,0.014667191731741969,17.507639474663318
f_rand,4664.0,1.5685010584691397,0.006559790712276642,17.40150033174897
f_rand,4316.0,1.239779207229117,0.025036409561751037,17.28881414739486
f_rand,6744.0,1.6791561054527315,0.01075923081486438,16.628127867670642
f_rand,6518.0,1.5636355827820865,0.012394518182910057,16.411684051927658
f_rand,2520.0,1.6225280492915395,0.008327784821668457,16.28374327981354
f_rand,9708.0,2.032671557623698,0.01538597983491245,16.263255635703324
f_rand,5230.0,1.5524021228632674,0.004008275816583428,16.212896701177876
f_rand,6608.0,1.9833385571138071,0.003265504023226884,16.203640528466845
f_rand,1696.0,1.8844382017892154,0.015496834411922207,16.082508255338887
f_rand,5694.0,1.8600833805063772,0.010229032661853212,16.020081711768047
f_rand,3508.0,1.5516094178831676,0.00201769445695691,15.982272091587227
f_rand,5448.0,1.5899227652268129,0.0033486773595533554,15.855186864750248
f_rand,4378.0,1.8099119416816438,0.005731919739724666,15.85118272192991
f_rand,3652.0,1.3645654523068842,0.01929882155495284,15.77613671951751
f_rand,1106.0,1.9091875186746792,0.006689971020118462,15.77255804311192
f_rand,4968.0,1.7131310149971992,0.009383455362728157,15.74265629953841
f_rand,3246.0,1.952924457521977,0.010001473136652062,15.720098574663949
f_rand,5276.0,1.6330084489218066,0.005884672967709334,15.52727261059865
f_rand,6834.0,1.6364506690977116,0.011259505478769213,15.265096903623522
f_rand,4360.0,1.5372464306256932,0.00948544453371518,15.107004525682866
f_rand,5882.0,2.085135092642804,0.015557795217996323,15.100151959043489
f_rand,1958.0,1.914415747238389,0.005502733625966456,14.679395173425803
f_rand,6408.0,1.588658688444223,0.009809712428821105,14.584746625112913
f_rand,3744.0,1.584056399350424,0.011025654319644902,14.457847831904958
