t,D_zeta_real,D_zeta_imag,mag_zeta,D_frand_real,D_frand_imag,mag_frand
1000.0,0.6234716529031927,0.7627672816359742,0.985155230361273,-0.11411732518672685,0.2607661067274643,0.28464315611932856
1000.1,0.7995468490188341,0.8744699138130756,1.1848935791623627,-0.9397125172822051,2.693757443586574,2.852961405279597
1000.2,1.1237158184525995,1.1138112573257086,1.582186069204906,0.8049200815060044,5.458395037044539,5.517424464190161
1000.3000000000001,1.7789468911602375,1.18810476585791,2.139215972318586,4.625875800281928,6.190665515047628,7.728070033251114
1000.4000000000001,2.522788574011757,0.7458759574514278,2.630740035250226,8.193227799664669,3.8137519372450224,9.03734947957852
1000.5000000000001,2.860219604421652,-0.16974774308044255,2.865252254479325,9.178172043287727,-0.430768497806775,9.188275330816504
1000.6000000000001,2.5453346623958577,-1.0855526412285892,2.7671561359041887,7.1647132013316766,-3.959997079715227,8.186250187276805
1000.7000000000002,1.8373300099498429,-1.5425658974988687,2.3990187814164314,3.888026694632482,-4.981049131254309,6.318829165766716
1000.8000000000002,1.2155378137619952,-1.5205073565686986,1.9466573396632552,1.6118741078394194,-3.824962619105796,4.150720079345245
1000.9000000000002,0.8855780323854854,-1.3667572020381615,1.6285802715147115,1.2095301437009303,-2.3155638026443595,2.612431605351229
1001.0000000000002,0.6439142100847669,-1.3353075906476934,1.4824546777525567,1.7253205434531005,-1.906286381380256,2.571120134396122
1001.1000000000003,0.23551885098116396,-1.2920639250343102,1.3133538424745084,1.6761639337597434,-2.442585311798862,2.962388991718083
1001.2000000000003,-0.24635112379526844,-0.9320745155959926,0.9640807947566926,0.6561419066998447,-2.6631880742059506,2.7428257181819826
1001.3000000000003,-0.41367914362391606,-0.23516070490115823,0.47584765524170247,-0.3712563511929929,-1.7552003767727062,1.7940344592354365
1001.4000000000003,-0.03800290918532834,0.40409738402626005,0.4058804219020856,-0.26306688036078735,-0.2800418929001264,0.38422343151068056
1001.5000000000003,0.6349424305731766,0.5518256744309368,0.8412273563688543,0.982919294680397,0.44507441357351907,1.0789909978645889
1001.6000000000004,1.0970545656895898,0.19184258590661615,1.1137020687184307,2.1744984901950293,-0.22683742784074384,2.1862979903320285
1001.7000000000004,1.0869680135087634,-0.2660241116759989,1.119047939269892,2.142859272429719,-1.5703922087485136,2.656685444446907
1001.8000000000004,0.8171717937961978,-0.4368128749879894,0.9265933457193443,0.9222971196084581,-2.2127828435571018,2.397298456508641
1001.9000000000004,0.6702270309998118,-0.3483018716535484,0.7553267285620097,-0.309049307909545,-1.4889702100207418,1.5207050210506246
1002.0000000000005,0.7354513351478738,-0.32639188555161314,0.8046243404997935,-0.4014928259307373,-0.040422781666273784,0.4035226022808246
1002.1000000000005,0.7348782476074378,-0.5365452219129028,0.9099048378617101,0.708545081613722,0.8724117975811422,1.1238943354416178
1002.2000000000005,0.4147654377761552,-0.743800327832587,0.8516274397044223,2.0585369168572987,0.5592898816598377,2.1331618339430856
