Metric,N=10⁶,N=10⁷,Absolute Change,Relative Change (%),Contribution to Δr (%)
Mean r (canonical),2.7101820953636055,1.8374202068454217,-0.8727618885181838,-32.20307188993851,100.0
Adjacent contribution (Δω=1),1.6902691757809252,1.5421841073566098,-0.14808506842431535,-8.761034665138363,16.96740776292846
Non-adjacent contribution (Δω>1),1.019912919582683,0.295236099488811,-0.724676820093872,-71.05281305686249,83.03259223707194
