t_value,D_magnitude,M_value
7113.0,7.2737617763568165,0.2728646393628196
5594.0,2.8816738960267783,0.26595583197384914
2233.0,21.65043036263119,1.4516185571035678
2356.0,8.698093442891981,0.5553648522714174
7181.0,14.934736242772827,1.276293057790634
5845.0,4.894636861013378,0.4808239828511073
4434.0,12.261515624936372,0.7979933287659607
8891.0,20.25097430825775,1.299603292520967
8208.0,22.310268781680286,1.334326945784189
7359.0,13.295618603755731,1.0529183686603487
2997.0,11.026319452282014,0.9258793434398522
3301.0,8.795076677042427,0.7280559961229849
3237.0,1.9334654795777202,0.1424190907422649
2782.0,39.582323669157624,1.1791592358806136
9441.0,8.727197829640302,1.1687370939592039
6809.0,14.10715703586021,1.3000576096176089
3008.0,4.248504280867001,0.3253056707974693
5346.0,10.36186566140977,1.0548902038644632
7520.0,10.016466779428065,0.6195903040535709
1207.0,4.261160206216143,0.40649964511219683
6917.0,5.554436504101854,0.7088413476101465
7272.0,10.696129856926467,0.9247377115555634
5680.0,11.675978228355767,1.2696881174363852
8407.0,2.7405072687172174,0.18538269525888346
7727.0,21.004022582049842,0.9297298973702216
9696.0,20.12552077752139,1.5121227309293652
9326.0,11.26032457130557,0.774206601777795
9663.0,13.412144680830655,1.2323801252865187
6975.0,20.58105943683561,1.627873781502192
5698.0,25.324995413997947,1.580258911029283
9934.0,3.553548140391741,0.3078707328789636
2009.0,21.335713425763533,1.5852949049232568
4431.0,6.480093962445752,0.6213118889815896
3703.0,18.165655555934613,1.2569775678146842
7779.0,6.837341742067515,1.1496538361607642
5803.0,12.992679613535989,1.273622847383219
1828.0,26.959970477983312,1.6266149944817958
8051.0,44.07996982255763,1.7703908401185058
7801.0,10.084237381735859,1.1427832743511315
9252.0,8.346622405921716,0.5860362728892975
5371.0,12.956869867236376,1.1058312334547555
5423.0,39.98531183535321,1.0954099682354261
7842.0,4.972767157886533,0.3998621495044876
8938.0,1.3193147722360858,0.21409963152581557
2527.0,16.167707295012114,1.7302681825032977
2124.0,11.43569028760064,1.0439236300927688
3384.0,15.22836922978829,1.0916468372103072
2883.0,7.382418428885386,0.8943685521239144
7660.0,11.042179909306842,0.5336720452942372
8495.0,10.018001175543132,0.9170530279688531
2272.0,20.010260977408866,1.5210903998561824
3933.0,7.305828298508191,0.6625202500651445
8817.0,28.941649176371776,1.0931726393119439
2273.0,22.103896452515915,1.5408852830439546
9909.0,12.316220567861349,1.4043608157252305
5875.0,7.808565429909421,0.6750765234054934
8330.0,5.97418911123276,0.6787294293810047
7195.0,5.088573469961558,0.5828446910790374
7290.0,14.036898112934995,1.3441073751769854
4719.0,2.282750914410234,0.3353558177638448
4958.0,1.1324422346070502,0.2188084749603877
7947.0,7.010472636357094,1.1212841351535765
5437.0,70.31830830305644,0.9725540145448633
9106.0,31.934730986348185,1.108793431922943
2815.0,7.493287636730123,0.9884898014293957
7283.0,30.97658539581027,1.6291930696405494
9495.0,17.01501497429249,1.2998669355669688
3409.0,0.9647804067858892,0.06721920707334135
1538.0,9.579671189528757,0.8656656035739076
9305.0,26.629308358369876,1.1373348245239814
1760.0,7.011591897340541,0.9589803372143845
6023.0,19.964438146211148,1.424482780567528
8629.0,8.12866720254839,0.7814076618462157
5240.0,3.2337308779251766,0.14876818506127934
9571.0,10.461716820271581,1.0454974635204726
4472.0,18.964994931931617,1.413503136624015
7778.0,5.060234459914983,0.3326056671385761
6823.0,0.708157269284484,0.07109081919226111
7109.0,9.065243423104535,0.8005937433215492
2563.0,2.8958572080591027,0.27356586342515343
8221.0,2.622033180436704,0.2350697942489915
8877.0,10.602566327561243,0.904091204755352
1787.0,17.676384160023456,1.2660091541507537
7059.0,21.07080249313864,1.1630361787466728
2510.0,5.367564141376381,0.48351842023658925
6304.0,20.03316617811121,1.8270046965345639
1044.0,22.23401956073989,1.4164706724088787
6065.0,14.451893844282928,1.6311033512901887
2393.0,3.0365044510081862,0.3519210426565681
8578.0,10.988554629856546,1.0536853724557331
1936.0,13.8135867347638,1.421620141615714
6031.0,15.948269570134022,1.5075955063715065
2538.0,6.629763820512667,1.2600315794978405
9224.0,22.062805672692438,1.1350403344694788
7685.0,11.170465126014276,1.1282873367608401
3177.0,26.759884136751456,1.1262777114021771
7528.0,23.8111850560579,0.8383660072893319
9092.0,3.650533451069492,0.1596121282861575
4625.0,8.371601240140878,1.2968078581278437
1667.0,5.141984010164478,0.46154434474897
1025.0,14.50864363112584,0.6085426093815124
1193.0,15.068538762884701,1.3367164198021904
4755.0,9.017645835978199,1.1625206017345922
9410.0,22.86537396865634,0.8184276153037398
5449.0,2.924362060219955,0.38745437283216333
2087.0,11.76331395022994,1.45600821495067
8654.0,10.881165591976108,0.8378489891863229
2606.0,23.230999294763667,1.7434592626958716
1728.0,14.039279290803831,1.1706104594646143
5613.0,14.804110612460565,1.0615711766698528
7638.0,76.6141813123518,1.7753859071043339
4612.0,16.838989875718834,1.434319171203557
6713.0,22.733316200995663,0.9512528998107705
5400.0,11.235215090258533,1.257475701703199
4180.0,3.915018267126368,0.3525936798517663
6508.0,8.793454998926233,0.48643973611399993
4740.0,5.097017856216264,0.34436816363917877
4525.0,15.37953654735971,0.6556848767166652
5591.0,4.938117902088693,0.6101849163433264
3412.0,24.729053166101288,1.2764777573804138
7420.0,20.580049853862743,1.5480400650571238
4479.0,11.01152646516827,0.3665260292473579
1969.0,15.514123508844731,1.4259619743178316
8555.0,10.362313135031105,0.9811070673151565
9706.0,12.047849530682818,0.8383332176758536
5309.0,12.645506997911095,0.9516896746751649
8049.0,10.230001592439447,0.8687980654800923
6829.0,6.281599864760082,0.333217667988682
9254.0,9.96523110989356,0.9060566730936935
7173.0,26.825580664757982,1.4777506247183865
7254.0,11.094877965227997,0.9705898453439192
7140.0,10.09569686530095,1.1947350995901138
5190.0,16.701282718842798,1.2871802566997685
7331.0,20.898075213511053,0.766719851670846
4882.0,10.409918732823439,1.1566026964151384
6279.0,5.829747725907208,0.6102244456883874
8068.0,1.7545151118144842,0.09271125715663983
1341.0,14.16032589147508,1.1546060981562773
2297.0,57.95547187023921,1.8791276768615293
6675.0,5.510365437853921,0.272561681324839
6635.0,3.6582823074665454,0.35610357095664685
3323.0,3.144879467275685,0.25641395365530273
8709.0,2.363933916827635,0.2147010994346331
3483.0,10.416718771624858,0.870631561603812
3373.0,5.50647470910486,0.574247963779389
7087.0,10.800310924519376,1.0869428181541008
5394.0,6.712586321237362,0.6317283232947877
7351.0,9.748465842188997,0.7890581221457225
8102.0,15.013136881469766,1.3218612349873928
3189.0,11.923002947279803,0.4523139488288344
3929.0,16.021968439735268,1.1846201114668482
6954.0,6.605769501028178,0.5294385149510054
3392.0,8.507468043246856,1.0764497388623941
7526.0,3.3585501408226857,0.4562597940803663
7716.0,8.936167688696582,0.797689296118995
5106.0,13.698505742577742,1.3419660600441283
5426.0,25.238594258512556,1.1549024455535029
2702.0,6.0134453520404545,0.4067464108009505
5351.0,21.63905999887789,1.5165093397571532
4202.0,16.080728488751756,1.834694681127854
8617.0,23.050558960703732,1.4146596196789973
6866.0,26.3545352295129,1.6102884506203907
