L,k,a_2p,b_2p,se_a,se_b,R2_2p,a_1p,R2_1p
zeta,M_1,62.46669257779672,-136.8569136279309,1.9091660695023818,4.617935032853614,0.9999207448090935,5.909831827200241,0.9303117179787198
zeta,M_2,43.37557977491781,-82.74882215934736,0.5308244954589655,1.2839705633966811,0.9999973006559445,9.179180863968288,0.9887855933855185
zeta,M_3,34.438727655498155,-56.0882141465313,0.4577863678482055,1.1073042515364073,0.999998655341976,11.259969395180175,0.9965486391170734
zeta,M_4,27.857893104868822,-31.52299981719227,0.04520781175880945,0.10934970038204804,0.999999992419747,14.830842707188484,0.9993700460432453
zeta,M_geq5,80.46922699784173,-148.05534573955435,11.430738811280081,27.648935339484837,0.9997156122230028,19.284553528306102,0.9915610192924432
L(Δ),M_1,-0.817636589892345,2.6785302285838952,0.09708872771592555,0.2348404594951864,0.9999091431794072,0.2892805335357238,0.9880894882885043
L(Δ),M_2,0.9781561714882514,-0.43591442566071237,0.33988438157251094,0.8221202009904699,0.9998519450085037,0.7980121742452706,0.9998103199461751
L(Δ),M_3,0.17227041330579596,4.477299989994776,0.41178886090820505,0.9960444181906785,0.9999661852675134,2.022538882469231,0.9992829332351115
L(Δ),M_4,-24.7288558188975,71.50610243232404,2.7514403859410557,6.655247624611955,0.9997421358130717,4.821428276194551,0.9699741941988015
L(Δ),M_geq5,-24.569256399790675,83.52855751223603,2.5932350946729676,6.272577008053105,0.9999450863127248,9.949372368654563,0.9902073375495297
L_DH,M_1,-0.33354717921639576,1.2201399340083299,0.1511060433707737,0.36549879159526044,0.9993651259432161,0.17068225658364256,0.9922899870085263
L_DH,M_2,-0.22183008690205952,1.6985720529507944,0.7457455220037874,1.8038265118301693,0.9980377975318726,0.48011401315820734,0.9962979057582145
L_DH,M_3,-2.6936508199464697,10.307488473667945,1.1919900216500308,2.8832130256873643,0.9995300881878881,1.5659746154077787,0.9935243193121399
L_DH,M_4,-3.7190412983365775,16.41813388391182,4.124909068779759,9.977425432151419,0.9985303347817148,3.0658414470210893,0.9945508300958785
L_DH,M_geq5,-82.70491017963165,220.9668009798117,7.046467185478597,17.04415775740059,0.99949959220847,8.610817044027076,0.9153935824610518
