k,t_84.208_R_k,t_114.153_R_k,t_84.208_ratio,t_114.153_ratio,percent_difference
2,0.002138711228738871,0.0012696742054579169,,,
3,0.0028217416960755475,0.0009801455230544769,1.3193654468908538,0.7719661617453909,41.48958777383741
4,0.003083198302908987,0.004675627267570567,1.4416150537195476,3.682540960091624,155.44551235020796
5,0.004447551833723827,0.00658219052071554,2.0795476144511595,5.184157079367952,149.2925405190191
