c_center,observed_count,expected_GUE,z_local_detrend
0.0005,0,0.00356997892933156,-1.2909944487358058
0.0015,0,0.03479373880827349,-1.3719886811400706
0.0025,0,0.09810547065635646,-1.4484609817617715
0.0035,0,0.19347665760410357,-1.533929977694741
0.0045000000000000005,0,0.320878782782038,-1.5965649400644928
0.0055,1,0.48028332932068263,-1.0451778178370297
0.006500000000000001,1,0.6716617803505612,-1.1697213105432533
0.0075,0,0.8949856190021958,-1.8149704259460604
0.0085,2,1.150226328406111,-0.7893862224383408
0.009500000000000001,5,1.437355391692829,0.6366560157203741
0.010499999999999999,0,1.7563442919928718,-2.0388385774989737
0.0115,1,2.107164512436765,-1.6012815380508714
0.0125,1,2.4897875361550303,-1.7083273553219176
0.013500000000000002,2,2.904184846278192,-1.3901540002235664
0.014499999999999999,2,3.350327925936769,-1.5514229857702342
0.0155,4,3.828188258261291,-0.8496078082885796
0.0165,5,4.3377373263822765,-0.6388433066347857
0.0175,9,4.8789466134302515,0.7390395622531621
0.018500000000000003,0,5.451787602535737,-2.7475479263960323
0.0195,6,6.056231776829253,-0.6888467201936644
0.0205,5,6.692250619441331,-1.1492610503685368
0.0215,8,7.359815613502486,-0.31475579014585353
0.0225,8,8.058898242143245,-0.4954403570783588
0.0235,8,8.789469988494133,-0.6435959029348383
0.0245,5,9.55150233568567,-1.721798450023823
0.025500000000000002,12,10.344966766848382,0.1860590904123861
0.026500000000000003,11,11.169834765112784,-0.27236261985927823
0.0275,11,12.026077813609408,-0.4216564888637637
0.0285,13,12.913667395468778,-0.05397683056028342
0.0295,10,13.832574993821408,-1.0690449676496976
0.0305,9,14.78277151866926,-1.5410836987043413
0.0315,16,15.764214698057211,0.054288726848829905
0.0325,13,16.776849078073052,-0.8767140075192096
0.0335,9,17.820618631676012,-2.01944712724814
0.0345,15,18.895467331825326,-0.7743337315934546
0.035500000000000004,20,20.001339151480213,0.20180183819889383
0.036500000000000005,9,21.138178063599906,-2.4691996064650565
0.0375,19,22.305928041143623,-0.5011666314670065
0.0385,23,23.504533057070613,0.057583920489719116
0.0395,28,24.73393708434009,0.9172110230470448
0.0405,20,25.994084095911287,-0.9360426104813876
0.0415,28,27.284918064743433,0.4646139935246816
0.0425,20,28.60638296379575,-1.3141959650719361
0.0435,26,29.958422766027457,-0.35289172794123336
0.0445,20,31.340981444397816,-1.6774064478246207
0.0455,19,32.75400257108012,-1.9966081535774556
0.0465,32,34.19742050017207,0.16174138293855034
0.0475,30,35.671160367695656,-0.3903683272641174
0.0485,26,37.175146908887,-1.2792308907720304
0.0495,29,38.70930485898221,-0.9440573883252735
0.0505,39,40.2735589532174,0.4626683682296248
0.051500000000000004,29,41.8678339268287,-1.392301215181827
0.052500000000000005,28,43.49205451505222,-1.7044965429267827
0.0535,36,45.14614545312403,-0.6383432397694273
0.0545,41,46.83003147628029,-0.07004711557908595
0.0555,49,48.543637319757096,0.9374199043098113
0.0565,43,50.28688771879058,-0.16826682825261804
0.0575,41,52.059707408616845,-0.6602129722205977
0.0585,44,53.86202112447199,-0.4927455262115847
0.0595,47,55.69375360159212,-0.2747297637356443
0.0605,46,57.55482915480511,-0.6766008210340604
0.0615,48,59.445162429548546,-0.5547001962252291
0.0625,65,61.3646584018698,1.520466696039661
0.0635,73,63.31322162740791,2.3383889492423524
0.0645,44,65.290756661802,-1.7080729582578715
0.0655,58,67.29716806069116,-0.0870388279778486
0.0665,55,69.33236037971444,-0.7010886648152332
0.0675,64,71.39623817451097,0.2514702941390447
0.0685,63,73.48870600071979,-0.12013485087608049
0.0695,60,75.60966841398002,-0.713166058384355
0.07050000000000001,51,77.75902996993074,-2.0344581321825066
0.07150000000000001,65,79.936695224211,-0.5318147613920312
0.07250000000000001,65,82.14256873245992,-0.7120689949163119
0.0735,68,84.37655505031653,-0.549669348543394
0.0745,67,86.63855873342,-0.8829378228359931
0.0755,90,88.928483956158,1.532515565243014
0.0765,79,91.24622612413626,0.08645558845371645
0.0775,65,93.59167187417867,-1.7384181247801327
0.0785,85,95.96470746185769,0.23260687328646315
0.0795,85,98.36521914274573,0.027689549054444568
0.0805,82,100.7930931724153,-0.4951298101745192
0.0815,73,103.24821580643884,-1.6485822443764733
0.0825,84,105.73047330038878,-0.6643681695145873
0.0835,112,108.23975190983762,2.042172564174337
0.0845,87,110.77593789035782,-0.7511565581283792
0.0855,112,113.33891749752179,1.6026863355865817
0.08650000000000001,80,115.92857698690204,-1.8649280918605593
0.0875,103,118.54480261407097,0.23651405736687486
0.0885,107,121.18748063460106,0.39807153471175527
0.0895,90,123.85649730406486,-1.4335974673923646
0.0905,119,126.55173852697112,1.1841332049610098
0.0915,111,129.27308213336602,0.23334544911679864
0.0925,108,132.020397878833,-0.2810748659912889
0.0935,119,134.79355516789187,0.5530773804131974
0.0945,119,137.59242340506242,0.3525586117428197
0.0955,120,140.41687199486458,0.21875644209695422
