omega_class_k,slope_zeta,slope_L(Δ),slope_L(χ₄ mod 5),slope_L_DH,diff (L_DH - ζ),diff (L_DH - L(Δ)),diff (L_DH - L(χ₄ mod 5)),p (ζ vs L_DH),p (L(Δ) vs L_DH),p (L(χ₄ mod 5) vs L_DH),R² (L(χ₄) vs L_DH)
1,5.909831827200231,0.2892805335357309,0.140978824685984,0.1706822565836379,-5.739149570616602,-0.1185982769520999,0.029703431897653898,0.0073974502605843,0.0088239078783386,0.12353696150954328,0.999972647616169
2,9.179180863968272,0.7980121742452724,0.5534189657400734,0.48011401315820335,-8.699066850810084,-0.3178981610870757,-0.07330495258187009,0.0002298600395665,0.0001358848684905,0.19716158216633287,0.9993203538536003
3,11.259969395180152,2.022538882469229,1.403714854836009,1.5659746154077725,-9.693994779772389,-0.4565642670614585,0.1622597605717635,3.46170397431563e-05,0.0093481198068287,0.2979672989419646,0.9978018389211386
4,14.830842707188449,4.821428276194541,3.0505164871716914,3.065841447021076,-11.765001260167374,-1.7555868291734562,0.015324959849384534,2.8178581261396724e-06,0.0474709490673455,0.9453318329141719,0.9967062443203407
