omega_class_k,slope_zeta,slope_L_DH,diff (L_DH - ζ),p_inter (ζ vs L_DH),significant_p<0.05,R^2,slope_L(Δ),slope_L_DH (prev),diff (L_DH - L(Δ)),p_inter (L(Δ) vs L_DH)
1,5.909831827200231,0.17068225658362834,-5.739149570616602,0.007397450260584327,True,0.9808534402447088,0.2892805335357309,0.170682256583631,-0.1185982769520999,0.0088239078783386
2,9.179180863968273,0.4801140131581896,-8.699066850810084,0.0002298600395665603,True,0.9977345955538348,0.7980121742452724,0.4801140131581967,-0.3178981610870757,0.0001358848684905
3,11.259969395180153,1.5659746154077663,-9.693994779772387,3.46170397431563e-05,True,0.9993976651299844,2.022538882469229,1.5659746154077707,-0.4565642670614585,0.0093481198068287
4,14.830842707188447,3.0658414470210733,-11.765001260167374,2.8178581261396724e-06,True,0.9997711116364714,4.821428276194541,3.065841447021085,-1.7555868291734562,0.0474709490673455
