T0,sigma,J,m,delta,c_pred,Signal_abs_lambda_min,Noise_eta_X1e6,X_min_for_Detection,SNR_at_X1e6
46.13,1.0,10,20,0.001,-16.871818682993144,1.6871818682993144e-05,1.8536942703048862e-07,3.915e+05,91.01726726607487
46.13,1.0,10,20,0.0001,-16.871818682993144,1.6871818682993143e-07,1.8536942703048862e-07,1.020e+06,0.9101726726607485
46.13,1.0,10,20,1e-05,-16.871818682993144,1.6871818682993146e-09,1.8536942703048862e-07,2.411e+06,0.009101726726607487
85.7,2.0,10,20,0.001,-3.6326603340417636,3.6326603340417632e-06,1.2406112333767537e-64,4.798e+02,2.928121426205547e+58
85.7,2.0,10,20,0.0001,-3.6326603340417636,3.632660334041764e-08,1.2406112333767537e-64,7.814e+02,2.928121426205548e+56
85.7,2.0,10,20,1e-05,-3.6326603340417636,3.6326603340417643e-10,1.2406112333767537e-64,1.205e+03,2.9281214262055483e+54
