L-function,bn_residual_var_unif,bn_residual_var_weighted,bn_B_unif,bn_B_weighted,bn_B_pct_shift,lambda_min_Weil,I2_over_logT,H0_bottleneck_vs_zeta,Sigma2_L100,N_zeros,data_note
ζ,2.3078367586660493e-05,0.0025373626869448535,-4.965970621036074e-05,0.00011830066453508407,338.2226427880124,1.482882e-06,0.997910467472,0.0,0.362,5000,full N=5000
L_DH,3.901446440571472e-05,0.005913509930969756,-4.1818202757187096e-05,0.00021206183216913136,607.1041273591924,-0.02371606,0.9969375104477176,0.014109787531197,14.3235,5110,N=5000 on-line + 110 off-line
L(χ₅),2.7166411621928986e-05,0.0047411771960928955,-4.1183871334997713e-05,0.00018490973825535455,548.9858098848026,0.2239166,0.9983359331806216,0.0,0.364,5000,full N=5000
"L(Δ,s)",5.336398849250757e-05,0.002856953665392566,-0.0004899900123572994,0.0009073389127405948,285.17498109307706,0.6513553,1.2168377525768834,,0.2975,1455,"PARTIAL: bn from N=1298(Jacobi), Weil/Σ² from N=1455, bottleneck NA"
