N,bins,ratio_min,mean_zero_ratio_min,two_log_N,rho,rho_log_N
300,4,3.9772131882284247,11.680838126824819,11.407564949312402,0.006425001866216478,0.036646813044158934
400,4,3.804746193735792,11.965684510769288,11.982929094215963,0.005344089858217264,0.03201892492206806
500,4,3.6479320521579326,12.190300055797096,12.429216196844383,0.005592996271661572,0.03475827992431313
700,4,3.477189900151626,12.519195409505532,13.102160670086809,0.0051997423389769926,0.034063929784164775
1000,4,3.2591346870032534,12.874581677801881,13.815510557964274,0.005038381670419573,0.034803907581367644
