N,bins,ratio_min,mean_zero_ratio_min,schur_cross_fraction,defect_schur
3,6,5.943401154014719,7.109848434091859,0.0025850183922656155,0.7973943500975582
5,6,5.381821052027376,7.64815431634966,0.007668628796288184,2.0212992482447687
10,6,5.1548274629384085,8.33936662230112,0.013470171814986937,3.098147309528984
20,6,4.943274895732951,8.991853670841722,0.014375685011746304,8.283797050482203
35,6,4.775563757945394,9.546732399007665,0.01007651913745805,11.38112624444969
36,6,4.840802362581533,9.57186765961455,0.009776296430185032,11.296527510781345
40,6,4.815910634074169,9.683027030711374,0.012089649096837579,12.163932671226357
58,6,4.675292446639054,10.048323580232172,0.011190562337832242,15.796431982025696
80,6,4.528975861526908,10.351068755679687,0.00934648496684049,21.539264411831738
81,6,4.5185648561885285,10.360938373892695,0.009328826178467824,21.709519059787215
94,6,4.607901013965085,10.49385374582021,0.008077924862689182,23.63981333961065
120,6,4.457346078268808,10.74654637061586,0.009836656370298973,27.71378820889725
147,6,4.399209352191226,10.947092125336797,0.008368336724297865,30.821649045012656
160,6,4.3307282460687615,11.032618148315885,0.00884223437260969,32.64598961858285
200,6,4.093683411287866,11.260507310724734,0.008343800970111474,37.58824385154846
211,6,4.15657282725275,11.307442659374624,0.007956437517554604,38.68156123968571
241,6,4.083350815245211,11.436585400658728,0.007456724500517155,42.01939599277946
260,6,4.086213573593324,11.513395159430903,0.008402807029791737,42.7232836111342
