,zeta,L_DH,L(chi5),L(Delta)
zeta,1.0,0.005994005994005994,0.993006993006993,0.99000999000999
L_DH,0.005994005994005994,1.0,0.001998001998001998,0.0899100899100899
L(chi5),0.993006993006993,0.001998001998001998,1.0,0.99000999000999
L(Delta),0.99000999000999,0.0899100899100899,0.99000999000999,1.0
