N,R_comp_LDH_t145.96,R_comp_LDH_t114.16,R_comp_zeta_t108.72
10000,0.058723651131714884,0.00933780220366301,0.004909242031921457
50000,0.025449346971100528,0.005459416199994242,0.004348428917184181
100000,0.016888650334504457,0.004680844201758674,0.00475700986550485
500000,0.0070943157998377675,0.0022353249928140475,0.004849506499307908
1000000,0.0049779539671189746,0.00157044230784409,0.004744903956271945
