block_index,R_comp_max
1,0.7867162539804274
2,0.9228814605833762
3,1.3107019232416317
4,1.039775055084244
5,1.262609235715432
6,1.0061027404577698
7,0.9600685629121749
8,1.233931605264516
9,1.1057247989805763
10,1.0630454008142058
11,0.8930153514512378
12,1.0552155107977008
13,1.3401305392202578
14,0.941737662192168
15,1.0329103075385957
16,1.176857276396073
17,1.5386663375404246
18,0.9745668690536694
19,1.3760806349940466
20,1.3010859606325833
21,1.1214175325912055
22,1.1954021511281177
23,1.2994389506453001
24,1.074597896086898
25,0.9694522909011859
26,1.0384994822453164
27,1.256901769489934
28,1.0965846573143956
29,1.269070897396918
30,1.2828136851015486
31,0.8554491697457989
32,1.0681546717429578
33,1.2069476434663169
34,1.3763418998977235
35,1.714877878938441
36,1.2941370064339908
37,0.8902205704508307
38,1.289093781605828
39,1.0484242428249544
40,1.2203046923730503
41,0.870726155527766
42,1.5143368976738518
43,1.0786049435845104
44,1.6014183507793525
45,1.2076930842482068
46,1.0498881771776998
47,1.0376600168328338
48,1.3323687769242338
49,1.199924458347393
50,1.6836637654948192
51,1.377980805764655
52,1.2523375453558956
53,1.6640771658764768
54,1.3674487039056589
55,1.0097490195110115
56,1.0419057018454574
57,1.3893138333940653
58,1.0679658040650746
59,1.5237368085973804
60,1.3450622770987657
61,1.1286966371440652
62,1.226942170050673
63,1.2660319373070423
64,1.3019331519962842
65,1.2882161472201816
66,1.3650220400455582
67,1.349743775476906
68,1.2891618567137626
69,1.125318986417104
70,1.038272704087946
71,1.532062132298158
72,1.1697497935742216
73,1.581250026330619
74,1.838669165864971
75,1.3488429163549123
76,1.3301889468220514
77,1.1708848049907594
78,1.3170154835932975
79,1.1985266731505082
80,1.2348183566751612
81,1.3947375780714186
82,1.1372342439495804
83,1.154193834078296
84,1.5797227200607424
85,1.3674118222041904
86,1.2966646751589999
87,0.9727851147136786
88,1.158169293698203
89,1.1295950766539429
90,1.7042731951325578
91,1.0111285812920137
92,1.0779724486618214
93,1.275477209467962
94,1.3214490693199183
95,1.7255904204649688
96,1.3597019953610232
97,1.4338618738198947
98,1.0337181978272305
99,1.3156021077480888
100,1.3629529849580244
