bootstrap_sample,xi_estimate
1,-0.11679106093969462
2,-0.3621209639528147
3,-0.2505602050100958
4,-0.33286496232065615
5,-0.3943965189346255
6,-0.2934828083884785
7,0.17121290264622452
8,-0.43239491573620703
9,-0.08247407506258869
10,-0.19471526725245678
11,-0.35614228986959606
12,-0.05606904868421449
13,-0.3559040968738256
14,-0.32234253002398416
15,-0.3203822397842939
16,0.08166208053712054
17,0.025742144254641518
18,-0.29848549260833784
19,-0.3118108725236173
20,-0.7963966652089616
21,-0.258919163618267
22,-0.03308371441188065
23,-0.4999001223453391
24,-0.3659754270115632
25,-0.27894242951911263
26,-0.30105297873844383
27,-0.49998817611135904
28,-0.313187695606168
29,-0.5817399549719142
30,-0.32081670110950156
31,-0.40908016522745283
32,-0.3194464215790982
33,-1.1343556201945777
34,-0.30851665799232986
35,-0.30686492212491445
36,-0.3312520896950063
37,-0.3906037828427926
38,-0.2957766638812778
39,-0.3340868852482326
40,-0.31717959821719155
41,-0.23000094628863513
42,-0.33147892186620687
43,-0.4570185506368168
44,-0.47395110747934666
45,-0.3193517876166248
46,-0.06256013896752174
47,-0.23552500202341375
48,-0.29706380383979636
49,-0.2897506987834604
50,-0.2992518458447063
51,-0.02891617393821634
52,-0.32378745507903806
53,-0.32005196162056015
54,-0.3113707799986158
55,-0.49987137620992217
56,-0.358008256063994
57,-0.1717317951388886
58,-0.29159867795684297
59,0.010146919932287883
60,-0.3573998272278237
61,-0.43926149146619153
62,-0.07462387071739664
63,0.07133532092992646
64,-0.3283765028679338
65,-0.39300781282154407
66,0.08342822908270583
67,-0.5003838170778536
68,-0.33316798068857617
69,-0.577858018208852
70,-0.3239404153948118
71,0.005009136543557951
72,-0.20761703699556225
73,-0.3114721724022476
74,-0.2182993778019099
75,-0.06337610959270235
76,-0.668286519059959
77,-0.07908537808040839
78,-0.317155686351559
79,-0.46765580158589526
80,-0.31361875220533236
81,-0.3001259677753858
82,-0.3063808249566333
83,0.20012190497362448
84,-0.24048259413112089
85,-0.33281263878246115
86,0.10939501808679676
87,-0.3873222169902709
88,-0.49992907673146514
89,-0.29299644699803995
90,-0.3347962005612717
91,0.21425878036043844
92,0.20192715124474098
93,0.2207965995657386
94,-0.17666370770851195
95,-0.31140086603105543
96,0.20176936988637195
97,-0.3158276660726357
98,-0.7247440452245041
99,-0.34761887955814985
100,-0.2783086822462365
101,-0.5345482381235187
102,-0.1412236629630665
103,0.10953955471402048
104,-0.49981849741250983
105,-0.2842188743256526
106,-0.3270107628632358
107,-0.3856250491093809
108,-0.48024136543511914
109,-0.07764374217494155
110,-0.3347644586904145
111,-0.286278693820588
112,0.19880938673045515
113,-0.3002793558530946
114,-0.3113566222176787
115,-0.3050335475198266
116,-0.5052169138154345
117,-0.31818619235578616
118,-0.3314217760586443
119,-0.28027314819565874
120,-0.07657769456781977
121,-0.2879157431352708
122,-0.2550811663327569
123,-0.061497381548061
124,-0.27931828347307086
125,-0.30604078639434007
126,-0.2912356270026061
127,-0.4998787119364977
128,-0.29120928387696404
129,-0.056025627265699526
130,-0.28062262184043524
131,-0.2788522929486773
132,-0.05543496808875567
133,-0.3091716205974695
134,-0.28053270976521205
135,-0.31531665466523495
136,-0.3357460751695712
137,-0.3099375601841075
138,0.19084407896776046
139,-0.07182401632071322
140,-0.2395249093761015
141,-0.33719052819661144
142,-0.35648908586723516
143,-0.3047666268246303
144,0.18742453820436356
145,0.1532351556956426
146,-0.358353264898149
147,-0.3274803465817584
148,-0.5004347600608134
149,-0.3769521252919693
150,-0.46253703071946095
151,-0.2600393458106973
152,-0.2998443498393188
153,-0.05247063596285019
154,-0.38962766237554963
155,-0.7143266855471133
156,-0.47273694166262925
157,-0.5245675574018142
158,-0.35171759758147536
159,-0.3695160468977684
160,-0.365467266066244
161,0.1501930996621178
162,-0.31931644433874645
163,-0.4997277800902482
164,-0.337247363134749
165,-0.19383782478068723
166,-0.341103812343564
167,-0.5630948361609154
168,-0.3693519867561328
169,-0.061945384919868965
170,-0.30583060464035117
171,-0.4983468867287909
172,-0.3137508400285297
173,-0.4998171359646909
174,-0.7790375724400933
175,-0.2900529914789002
176,-0.3795591747435283
177,-0.3625898626892162
178,-0.2903879963476679
179,-0.5741403588421865
180,0.0060126713211993265
181,-0.3080138949926359
182,-0.3189077671014124
183,-0.2734740762291302
184,-0.28667417074831814
185,-0.3712084497858737
186,-0.2782524729364271
187,-0.2962411138165113
188,0.20114298725740853
189,0.08028589633452182
190,-0.3083879668477557
191,-0.3820088131897794
192,-0.32746431643095497
193,-0.31294166592961703
194,-0.2880175460389428
195,-0.3059919641749964
196,-0.5773629099830605
197,-0.505170680652543
198,-0.34999979574001056
199,-0.37630930918601607
200,-0.31191391634227406
201,0.08386191953587926
202,-0.3072128292978782
203,-0.29633765979268417
204,-0.13901431822584392
205,-0.05647625624697067
206,-0.2859082141755015
207,-0.2947429374432754
208,-0.28724589205870843
209,-0.3488084885511232
210,-0.524637699274987
211,-0.35467568111734055
212,-0.4352714291676868
213,-0.3888794568594214
214,0.15029662576266603
215,-0.06018125033934947
216,-0.03403369069808233
217,0.19880151070139473
218,-0.5247152125209434
219,0.19941389053663416
220,-0.3127947456538146
221,-0.3489047368377869
222,-0.286455570851994
223,-0.3127340314570489
224,-0.332016048045402
225,-0.34257634382932856
226,-0.31292589806721094
227,0.14127450954346546
228,-0.28922681188155486
229,-0.30021603834603416
230,0.11189168024907342
231,-0.9549686623033983
232,-0.5054024251543436
233,-0.26762901526143545
234,-0.3596623345744362
235,-0.4991024109991226
236,-0.35381440529891306
237,-0.3173539527534673
238,-0.29342534766369943
239,0.004595833443640776
240,-0.35511373459584117
241,-0.31814120976692506
242,-0.36610088528246454
243,-0.06400566547890171
244,-0.5801598549352334
245,-0.307354766276268
246,0.2047637355179358
247,-0.17925825745507307
248,-0.35382110239320114
249,-0.0745007604276404
250,-0.1759846644251281
251,-0.027072035216000302
252,-0.3790894672789832
253,-0.3765102920966175
254,-0.2893909727363556
255,-0.5257467092439266
256,-0.0494030749887615
257,-0.5016791454676588
258,0.19912980146116765
259,-0.3522434273485002
260,-0.372556967401089
261,0.08025758053150814
262,0.181604658966183
263,-0.3164245112054713
264,-0.061891476254910066
265,-0.30755874012329043
266,-0.2793688023276929
267,-0.056081534768867146
268,-0.4283521071824013
269,-0.06417309288909856
270,-0.28481909552282736
271,-0.6380059185550417
272,-0.32588397434867405
273,-0.3598643884242089
274,-0.49992747800391635
275,-0.9318343974050785
276,-0.3253210415148692
277,-0.24220735704265423
278,-0.17897631060761832
279,-0.27189301165481683
280,-0.007825535874818356
281,-0.49815266786866536
282,0.12589701571546164
283,-0.36826235111290473
284,-0.34333724219130746
285,-0.07777762842843905
286,-0.3975772975511917
287,-0.3990835660587567
288,-1.1032356764880182
289,-0.2963126692588977
290,-0.3090726181974073
291,-0.36695992193073856
292,-0.2977267422144834
293,-0.3561567048788149
294,0.009436703931464372
295,-0.32739675416184466
296,-0.3454760474374138
297,-0.474963194774511
298,-0.036365338930031965
299,-0.27799681186234737
300,-0.29396437307008966
301,-0.2028667882363045
302,0.18707276481424587
303,-0.5334092314555821
304,0.0025364541692643647
305,-0.5774970594505786
306,-0.28777710729267175
307,-0.7272760475057483
308,-0.3011947462650916
309,-0.32980035758849413
310,-0.2867615267901028
311,-0.21548240752690873
312,-0.309994597214992
313,-0.5006532907045107
314,-0.061712749826661806
315,0.19938178227399267
316,-0.37463305109215417
317,-0.3858174896008435
318,-0.24199304059899296
319,-0.37768615157213214
320,-0.32342111404938034
321,-0.30104797085273144
322,-0.06302342062261931
323,-0.06227226424321826
324,-0.34472250004008553
325,-0.4999481272258191
326,-0.30707332848599034
327,-0.32416451819740066
328,-0.280196008205975
329,-0.30391641038914563
330,-0.7201830973057319
331,-0.06266654537451219
332,-0.2929848418064906
333,-0.02114404919920329
334,-0.31023798192508256
335,0.08323536469502879
336,-0.07256806141501791
337,-0.3913534288885635
338,-0.13316760995115667
339,-0.3415295591868725
340,-0.48145789987728194
341,-0.34362127219170674
342,0.20249383406347665
343,-0.29132410460906155
344,-0.28759398863330343
345,-0.053550629030487865
346,-0.1213247611593017
347,-0.5002046334128041
348,-0.2116182008741413
349,-0.3006528801400214
350,-0.49700075717077374
351,-0.5255443477446864
352,-0.4199287243290234
353,-0.183955894432227
354,-0.3368708362059696
355,-0.3310129293133359
356,-0.33043235848096353
357,-0.048779400443965254
358,-0.3985009905582316
359,-0.05399092411571177
360,-0.00434708597432136
361,-0.29977800202633087
362,-0.33961919898691006
363,-0.21847775618518575
364,-0.2998521680291134
365,-0.30031940125480416
366,-0.3160447297391029
367,-0.29870291215365385
368,0.14923119355467435
369,-0.28089585121022864
370,-0.28906095381069996
371,-0.4056429013390913
372,-0.2847007353194496
373,-0.31014818063577076
374,-0.36446929178936127
375,-0.062313010451032005
376,0.19813318738313743
377,-0.30891750103973625
378,-0.2948740379429684
379,-0.36382303513591296
380,-0.42399361209776265
381,-0.2776527235394345
382,-0.3027116706710875
383,-0.19349281075299712
384,-0.32267721067624455
385,-0.49955725923304195
386,-0.3344694894385231
387,-0.9126039358316969
388,-0.2850728167706169
389,-0.31412818059027514
390,-0.30942851871177046
391,-0.3262733502115523
392,-0.29933004313910627
393,0.18153534993804588
394,-0.3137103919269153
395,-0.32477523996365554
396,-0.3450425806923103
397,-0.3341509427682856
398,-0.29998517903364863
399,0.0949005331550496
400,-0.31606519379759046
401,-0.433631144572755
402,-0.3347129695752308
403,-0.029642716154923508
404,0.19988533170058043
405,-0.07536959358941603
406,-0.30390872843675565
407,0.026098312959057672
408,-0.3108477803851051
409,-0.3308610004363395
410,-0.3076606906422996
411,-0.29879875205372497
412,-0.05708725982473567
413,-0.4999653860258822
