t,R_comp
1000.0,0.12950016187281185
1001.0001111234582,0.30455993341836457
1002.0002222469163,0.19983349718131127
1003.0003333703745,0.15427503724578379
1004.0004444938327,0.2146055971685381
1005.0005556172908,0.08296360783641386
1006.000666740749,0.4320759251401999
1007.0007778642072,0.6655838033140875
1008.0008889876653,0.5082945209041848
1009.0010001111234,0.08597481098400336
1010.0011112345816,0.2756049782545462
1011.0012223580397,0.4586098707234649
1012.0013334814979,0.13671327456015997
1013.0014446049561,0.2535289465699869
1014.0015557284142,0.6319850616567112
1015.0016668518724,0.2239123049067165
1016.0017779753306,0.08263143758244454
1017.0018890987888,0.1138282962860182
1018.0020002222469,0.23319394952443262
1019.0021113457051,0.09600429868317009
1020.0022224691633,0.22645452996899648
1021.0023335926214,0.32417209332505886
1022.0024447160796,0.7867162539804274
1023.0025558395378,0.275981544243374
1024.0026669629958,0.4411768736975308
1025.002778086454,0.4811982472813567
1026.0028892099122,0.0736764317586035
1027.0030003333704,0.20781295591600654
1028.0031114568285,0.2220538998964298
1029.0032225802868,0.10013516133259791
1030.0033337037448,0.2981610468197868
1031.003444827203,0.14914456152836958
1032.0035559506612,0.10770018575784869
1033.0036670741194,0.39463509812747544
1034.0037781975775,0.6337352200861731
1035.0038893210358,0.19912391484063327
1036.0040004444938,0.6674607944546257
1037.004111567952,0.2781094595542533
1038.0042226914102,0.32491785965200953
1039.0043338148682,0.21756292202076538
1040.0044449383265,0.13017584895211423
1041.0045560617846,0.25326340824335336
1042.0046671852429,0.2590735545816363
1043.004778308701,0.4524808521641779
1044.0048894321592,0.15659911159300613
1045.0050005556172,0.16453108159929974
1046.0051116790755,0.3605540589207892
1047.0052228025336,0.22005837432386874
1048.0053339259919,0.24054811652399932
1049.00544504945,0.2144203690399228
1050.0055561729082,0.2726586726236028
1051.0056672963663,0.19569107212743006
1052.0057784198245,0.17842862953875843
1053.0058895432826,0.41956244923555297
1054.0060006667406,0.6831149624354519
1055.006111790199,0.6504929103596239
1056.006222913657,0.13004714934105185
1057.0063340371153,0.3095333918452022
1058.0064451605733,0.439300340264151
1059.0065562840316,0.2617231860139913
1060.0066674074897,0.13822926463981344
1061.006778530948,0.09888702898534033
1062.006889654406,0.5029751080359851
1063.0070007778643,0.10347291572360783
1064.0071119013223,0.216720624538268
1065.0072230247806,0.09325439489920502
1066.0073341482387,0.020667078271827424
1067.007445271697,0.07320380066230422
1068.007556395155,0.4616862707974822
1069.0076675186133,0.43638531787705426
1070.0077786420713,0.41886147667729207
1071.0078897655294,0.47573466986829294
1072.0080008889877,0.06590951234718846
1073.0081120124457,0.0805141280523479
1074.008223135904,0.1467031331080313
1075.008334259362,0.20386599122290527
1076.0084453828204,0.0937252400784226
1077.0085565062784,0.3055634872415863
1078.0086676297367,0.12131539218469571
1079.0087787531947,0.20087851492571002
1080.008889876653,0.22756465264375159
1081.009001000111,0.2597053176391644
1082.0091121235694,0.632919802765739
1083.0092232470274,0.705276266821907
1084.0093343704857,0.255716200370886
1085.0094454939438,0.28627337580614043
1086.009556617402,0.2876794429070447
1087.00966774086,0.19896663941399548
1088.0097788643184,0.475469271383952
1089.0098899877764,0.10033705523945785
1090.0100011112345,0.057720457303890124
1091.0101122346928,0.2662075692821746
1092.0102233581508,0.18573371070630304
1093.010334481609,0.1867523690385339
1094.0104456050672,0.11440607029465323
1095.0105567285254,0.16552102553400289
1096.0106678519835,0.09941557038715021
1097.0107789754418,0.6942775325918349
1098.0108900988998,0.46222446724106925
1099.0110012223581,0.157370978579662
1100.0111123458162,0.30218567963021997
1101.0112234692745,0.1280459993825885
1102.0113345927325,0.21674687398775896
1103.0114457161908,0.28609225900674395
1104.0115568396488,0.4924497247794907
1105.011667963107,0.9228814605833762
1106.0117790865652,0.13747839429704065
1107.0118902100235,0.1712574138841186
1108.0120013334815,0.30165297940475055
1109.0121124569396,0.2863676224566746
1110.0122235803979,0.24921529247007204
1111.012334703856,0.19617389781690178
1112.0124458273142,0.06911571008536285
1113.0125569507723,0.24117630302383647
1114.0126680742305,0.6323517209631356
1115.0127791976886,0.14616773876677855
1116.0128903211469,0.6287386385925342
1117.013001444605,0.12797002396365575
1118.0131125680632,0.3976501066086744
1119.0132236915213,0.24299309867765004
1120.0133348149795,0.30272170465670106
1121.0134459384376,0.10479108231046834
1122.0135570618959,0.3380290983459174
1123.013668185354,0.16361021006689416
1124.013779308812,0.050920537446957743
1125.0138904322703,0.4763919032875927
1126.0140015557283,0.07752397612588387
1127.0141126791866,0.30568107283213075
1128.0142238026447,0.19829898019434491
1129.014334926103,0.09721497233835828
1130.014446049561,0.18016898200706824
1131.0145571730193,0.4456132004331922
1132.0146682964773,0.3889499866004365
1133.0147794199356,0.4090177352812427
1134.0148905433937,0.031637356559803764
1135.015001666852,0.1027982240489673
1136.01511279031,0.09582982137314608
