block_index,R_comp_max
1,1.2598724106093233
2,1.2111155563317884
3,0.691870320988566
4,1.1634714896567186
5,1.0475399139644008
6,0.8287836960713528
7,1.0723957994900895
8,1.243389838355154
9,0.9521482773651592
10,1.2014949343910082
11,1.118217964159596
12,1.0138216297397902
13,1.373909817809231
14,1.30443228219546
15,1.051337967580229
16,1.0544486680095195
17,1.1497746765514123
18,1.187714923163759
19,1.1389274867345012
20,0.9088473652930373
21,1.5044326247227735
22,1.0326854156439687
23,1.3960566163730952
24,1.207338717108626
25,1.265831184131061
26,1.004819592614475
27,1.433271312100698
28,1.3591714653376177
29,1.1499313527647197
30,1.1455223467376352
31,1.3836534782745156
32,0.8903228761313371
33,1.2443307573487847
34,1.0155019548806432
35,1.3004701033682096
36,1.2659546750235433
37,1.1685011785623611
38,1.2780617480481142
39,1.2266500736321557
40,1.028652059761768
41,1.3898343690007384
42,1.1100651659027558
43,1.0319371101994197
44,1.0124970325748135
45,1.3873236414273638
46,1.4736502649549128
47,1.4619880863534973
48,1.2350024728662443
49,1.0413685119828413
50,1.610859426281745
51,1.2037833580176736
52,1.4594375740333205
53,1.4081946409916155
54,1.1752711931999282
55,1.2466713394045832
56,1.1218782927465052
57,1.1341609257008503
58,1.4223125115597375
59,1.2820525401303913
60,0.9543995432515693
61,1.5165996657624266
62,1.4059107019534822
63,1.6212305059444252
64,0.9965531709296412
65,1.6110594946213603
66,0.8803829047126965
67,1.3815767376703787
68,1.5959258766844073
69,1.1742648608097817
70,1.0400854155802892
71,1.4366122291041987
72,1.3930261617210098
73,1.0711121252221087
74,1.6095617146647387
75,1.3789175122788284
76,1.5909702217331623
77,1.6570012836806374
78,1.2678424235837809
79,1.046634111920405
80,1.4105370213787223
81,1.0354580270523908
82,1.4601792816473191
83,1.213840435881434
84,1.5206863482771882
85,1.3988069389414821
86,1.4453645143556118
87,1.6792773648626593
88,0.9377249448019802
89,1.2894194827255736
90,1.479371795717061
91,1.163637354336774
92,1.311561231932421
93,1.1731992900019095
94,1.1479121665145278
95,1.4828232382615212
96,1.1449357789331225
97,1.4253358962857263
98,1.3646741653067302
99,1.5991292708803069
100,1.2977836372167544
