function,name,d,q,GRH,t,|M|,log_abs_S0_norm,log_abs_S0,abs_S0,log_abs_S1_norm,log_abs_S1,abs_S1,log_abs_S2_norm,log_abs_S2,abs_S2,log_abs_S3_norm,log_abs_S3,abs_S3,log_abs_S4_norm,log_abs_S4,abs_S4,log_abs_S5_norm,log_abs_S5,abs_S5,log_abs_S6_norm,log_abs_S6,abs_S6,log_abs_S7_norm,log_abs_S7,abs_S7,pc1_variance_fraction,eigenvalue_entropy
F1,zeta,1,1,True,77403.70000024521,14.060887866633788,0.0,0.0,1.0,0.6900497352120993,1.6705907355513874,5.315306810626032,0.953343919348296,2.308018448797728,10.054481432510174,0.8733058275615926,2.114248510477297,8.283358569398045,0.3952563544511104,0.956904365322134,2.603624116232772,0.0855535289509075,0.2071226544492229,1.2301334438680256,-0.5239848238780657,-1.268552319741363,0.2812384705956745,-2.2813144309059097,-5.522997196687097,0.0039938596025895,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,74956.00000023631,13.948294009702508,0.0,0.0,1.0,0.6721722949405072,1.6253884548077515,5.080392156679918,0.9560001204989632,2.3117161631771284,10.091728855806329,0.8460083808349963,2.0457437255748685,7.734909048922729,0.4009980557705849,0.9696585461136142,2.637043876728905,-0.0293456262672335,-0.0709610355750919,0.9314981867116368,-0.6958102498506276,-1.6825476970070696,0.1858997559595018,-2.191350838833904,-5.29893359289549,0.004996919817405,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,94526.8000003075,13.610745596149632,0.0,0.0,1.0,0.6720072051991851,1.6387361793512465,5.148658417851706,0.9189979613173,2.2410402690761546,9.403107963808573,0.812571499576306,1.981511960531288,7.253702009411183,0.5140671031047439,1.253588285890975,3.502889803223028,0.0897878910248168,0.2189539998256448,1.244774015548782,-0.7019222490665641,-1.7116860886871483,0.1805610937971005,-2.4383212922356567,-5.946015589646388,0.0026162439683934,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,97255.10000031744,13.262598402022194,0.0,0.0,1.0,0.6222962213282055,1.5190561336374293,4.567911661598212,0.8849942201620344,2.160315059444632,8.673870012682853,0.7441108733839837,1.816411778795116,6.1497521414014,0.5753693665492772,1.4045053391105125,4.073511236121442,0.2889777481743852,0.7054091055094375,2.0246748211374,-0.3967945296948416,-0.9685952500888316,0.3796159291692081,-2.2448083368999883,-5.479689183601678,0.0041706257953579,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,63751.90000019555,13.12989406566125,0.0,0.0,1.0,0.6597573657061528,1.5857822445389402,4.883109670771902,0.9306259862303168,2.2368377254735567,9.363673912289473,0.8540400912524975,2.052757094091805,7.78934749181858,0.4059781840383003,0.9758026653162608,2.653296065214901,-0.3132426006948703,-0.7529049014609492,0.4709963655447693,-1.3241517718577838,-3.182710005275002,0.0414731103437791,-2.916407578320438,-7.009830577017277,0.0009029615578778,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,83431.90000026714,13.091398259776518,0.0,0.0,1.0,0.674764040922329,1.6380650791524811,5.1452043113195405,0.8926706647637913,2.167057748268058,8.732552836755456,0.8346363608171807,2.026172993120285,7.585002884726154,0.3993001008545513,0.9693455958587376,2.6362187422953114,0.2238748517986581,0.5434812091209699,1.7219910509880254,-0.4458357138691699,-1.082315994387984,0.338809934376993,-2.217304363660589,-5.382754011313577,0.0045951493944294,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,88607.90000028597,13.007103123144256,0.0,0.0,1.0,0.6446584124737873,1.5683954302905698,4.798941776075204,0.8582846643460057,2.0881287196473006,8.06980016801332,0.795069254304634,1.9343313622958775,6.919415925901208,0.5496180679421513,1.3371708946723049,3.808254298136685,0.1055991498485884,0.2569131509965823,1.292932831955137,-0.7882475674320712,-1.9177348170390736,0.146939430131187,-2.438391942646612,-5.932386370991155,0.0026521454281771,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,90048.80000029122,12.986107390975157,0.0,0.0,1.0,0.6747182506947497,1.6424829963223533,5.167985683843557,0.8960156852201759,2.1811927065806773,8.856863601064664,0.7618623155781082,1.8546199062902493,6.38926926797097,0.4133918545249956,1.0063298142244144,2.735542618608648,0.1075373998256364,0.261780899657678,1.2992418469086608,-0.4232148612626591,-1.0302421976863394,0.3569205047794092,-2.178398252387007,-5.302927681413364,0.004977001481615,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,93874.70000030514,12.881577258681842,0.0,0.0,1.0,0.5957617450370684,1.4524462488308818,4.273555919997746,0.8348322637472242,2.0352917923711336,7.654485320069572,0.7728465896286595,1.884172891896648,6.5809090671518,0.5506327785902897,1.3424234107160244,3.8283098398543167,0.2620021601258788,0.638752081399156,1.894115701621076,-0.5486975567144486,-1.3377054076256347,0.2624471875111627,-2.5162420458337267,-6.134509896056424,0.0021667869085028,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,88081.60000028406,12.753498517170383,0.0,0.0,1.0,0.6018352321140656,1.4638957094583611,4.322767012888722,0.8670896838988175,2.1090969757890647,8.240796285062357,0.7463348602221551,1.8153746098589103,6.14337711607557,0.5401061057229092,1.313746634677209,3.720085435959888,0.2764472972327713,0.6724265890663467,1.9589852098094565,-0.4542329749494863,-1.1048700169767274,0.3312539368319178,-2.294143896007442,-5.580243938940533,0.0037716453553928,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,98352.60000032144,12.577502125712645,0.0,0.0,1.0,0.5761989940274741,1.4070932039527346,4.084066584650674,0.7740745631544601,1.890310584463444,6.621424873407387,0.7406572376157358,1.808704590445389,6.102537024958726,0.6049637961206864,1.4773376124955142,4.3812655126963405,0.3926874919759948,0.9589532556704188,2.6089641252334417,-0.3930810773889683,-0.9599144016729462,0.3829256623683745,-2.14687843368356,-5.242733994785123,0.0052857857522688,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,84129.80000026968,12.551546481032087,0.0,0.0,1.0,0.6060559461954461,1.4717138590171854,4.356695508109659,0.8293763755868218,2.014013250682532,7.493329694010685,0.7408270592544908,1.798984824889706,6.04350912915078,0.4643323353681677,1.127559819255978,3.0881117477664697,0.3946874478343231,0.9584378976962842,2.6076199211701643,-0.2919243363010674,-0.7088934515298428,0.4921885267033304,-2.124314080484217,-5.158570743806791,0.0057499119127797,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,96557.4000003149,12.49355636581042,0.0,0.0,1.0,0.6657958281134058,1.6248233399044592,5.077521962428765,0.8628468306867283,2.105711105512646,8.212941201327931,0.7130307175548352,1.7400964425307024,5.697892915386762,0.452813160484077,1.1050555751531568,3.0193922673315083,0.2208987937900672,0.5390864597693273,1.7144399367138443,-0.5218999775756937,-1.2736566209245772,0.2798066021900566,-2.6367193993697997,-6.434710221922844,0.0016048736922363,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,99702.80000032632,12.364409064188049,0.0,0.0,1.0,0.6562213566368281,1.603287758832178,4.969343599406562,0.8495119733904325,2.0755376735963567,7.968829936826012,0.6912594303516741,1.688893193815242,5.413485708630192,0.5389617279937434,1.3167976510243793,3.7314528096413775,0.1996482688341947,0.4877830053175933,1.6287013920834097,-0.6757343488885297,-1.6509621316622205,0.1918652201844868,-2.297779995994518,-5.613963189110737,0.0036465885615396,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,68229.90000021184,12.360703448620518,0.0,0.0,1.0,0.6233583612968328,1.5021075788445706,4.491144543988755,0.8102528804291573,1.95246758211642,7.046052860680984,0.816470843326041,1.9674510166418708,7.152421828607089,0.5391582383675704,1.2992104162420417,3.666400594064142,0.2530643274637248,0.6098094897253714,1.84008081108676,-0.4838342740817273,-1.1658961764641314,0.3116432495044701,-2.215466653854272,-5.338613321089709,0.004802525656137,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,55104.60000016409,12.350818313694916,0.0,0.0,1.0,0.6713181770554498,1.6046653668299309,4.976194124478338,0.9253286751477372,2.211831779167737,9.13242967527586,0.7856138510901979,1.8778686197293293,6.539551726225656,0.3490943432529418,0.8344472435281098,2.3035403994465677,0.030051587159012,0.0718329143772828,1.0744757996065109,-0.9072370317726832,-2.1685869594306584,0.1143390685576417,-2.3484194967628165,-5.613474447798544,0.003648371235616,0.9839912550190802,0.09730414549449325
F1,zeta,1,1,True,96185.80000031354,12.238098652067146,0.0,0.0,1.0,0.6616626796611436,1.6145143920683656,5.02544693394365,0.8693685771781448,2.1213348175915563,8.342265461819487,0.7300589360377657,1.7814071966318734,5.938206766483647,0.485088887955966,1.1836590079985112,3.266303796056817,-0.0978473763298243,-0.2387560945579324,0.7876069605711703,-0.9326872540948512,-2.275837887374945,0.1027108122780036,-2.6188149027598824,-6.3901357604667774,0.0016780283760091,0.9839912550190802,0.09730414549449325
