k,n_terms,R_k,z_statistic,p_value,significant
1,78498,0.005196032440887438,2.119348122943988,0.12010989988496365,False
2,209867,0.010789078005260608,24.429401123596552,2.457230491658476e-11,True
3,206964,0.007406974372851925,11.354721679840667,1.1714048852823649e-05,True
4,92966,0.009063252524446265,7.636463961360045,0.0004825316896262633,True
5,18387,0.016799571915474563,5.18928241137985,0.00557600665855128,True
6,1235,0.027247817477555152,0.9169177932533477,0.39974925407308254,False
