epsilon,kappa,mean_r,std_r,sem_r,rel_change_%
-0.5,0.14203952192020614,3.8099599938932163,1.988648949449762,0.28123743151108604,0.4799518094530621
-0.4,0.17044742630424736,3.807156832490445,1.9884049482171684,0.2812029245258491,0.40602412435504653
-0.30000000000000004,0.1988553306882886,3.803903200269606,1.9878636495669155,0.28112637333660095,0.3202161869279828
-0.20000000000000007,0.2272632350723298,3.80023017427765,1.9870325648090095,0.2810088402029897,0.2233475911269412
-0.1,0.25567113945637104,3.7961711849345896,1.9859216750457152,0.28085173666603447,0.11629999633867116
0.0,0.28407904384041227,3.791761366604058,1.9845431734052321,0.280656787094462,0.0
0.1,0.3124869482244535,3.787036917423665,1.9829111727070645,0.2804259873423469,-0.12459774557553706
0.19999999999999984,0.34089485260849467,3.782034487804949,1.9810413898883164,0.28016156012025034,-0.25652666026871346
0.2999999999999998,0.3693027569925359,3.7767906137743363,1.978950818459992,0.2798659086735457,-0.3948231806351666
0.3999999999999998,0.3977106613765772,3.7713412076246478,1.9766573996562364,0.2795415702758985,-0.5385401929367379
0.4999999999999998,0.42611856576061835,3.765721114489292,1.9741797018865364,0.2791911708969613,-0.6867587275959812
