t_peak,magnitude,r_value
1550685.9306031412,23.65976677973792,7.281421283776572
1898422.196830818,19.36147857988782,7.368884661143288
1271800.411754039,15.571654483855976,5.802503399413699
1928485.001422776,13.841988656629942,4.594857428338239
1537483.1382713336,13.042249036844316,7.225687824817267
1071248.1378520126,12.655408985879296,6.433153627260975
1211625.3125849157,12.647509559556308,3.784808347089092
1599127.49303981,12.560846257191665,4.9242990034383185
1962500.1770206837,11.900850993737071,4.363111895945186
1376321.5395775663,11.758582779751155,5.618220392089012
1475670.001361937,11.44513095025042,3.6333571835186245
1106686.9759885825,11.357857715113093,4.6736277437576454
1148620.1996237931,11.306448877138003,7.102438954226552
1239426.2653098542,11.225127923880603,5.185920515186209
1413468.0267652138,11.084091639441132,1.9771347672942567
1433936.6507098987,10.898855975463718,5.775376798323705
1193744.9043941023,10.726860307497054,0.09949543542123888
1757809.6231639425,10.545578223695857,4.9681806866998794
1480425.5680044913,9.898454158135813,3.0335645277898786
1796268.0518017933,9.843647607908922,2.5295228937171137
1084758.9543476955,9.592359078193008,3.713316356605512
1698753.5730254669,9.587883556614669,5.424143289745681
1374372.3763148515,9.327401648496934,1.787510495958802
1558821.860396628,9.296613439396415,3.0775029415186137
1765573.1658689657,8.86613782292756,1.7553038932108689
1536040.925320623,8.814776775248061,0.9159837921697066
1392855.4903345504,8.629842707710969,5.809466244861633
1904849.8851312364,8.502634691787785,3.3727907042564063
1145615.028922331,8.334755822958645,5.476790637271232
1533421.9763510826,8.314109283820141,2.7207581160571666
1232254.5499011918,8.306443225381312,0.4824117405905516
1738683.7557967072,8.163980496513924,3.933491216147398
1056060.9584348213,8.131497118886275,0.542245085893201
1762827.8590595922,8.128751811852503,5.045079105061756
1702424.734901677,8.103937004248474,4.004019812248166
1336390.8686301447,8.050023957611534,1.995001946001247
1540954.419314861,8.018548759058204,2.5041292803309143
1005403.1168057193,7.87498283906416,2.7461008739315877
1420825.5667185022,7.677449495471182,1.1692607020602455
1315787.0946654368,7.506263976032296,5.856393628647667
1982297.95520321,7.230143551182917,5.934375330859917
1783454.2971780973,7.199341636113536,1.6841905812766926
1364836.5205664942,7.157194245305469,4.713809864149319
1228534.2003762734,7.136274546856762,3.462810734240133
1453285.3443065863,7.015311152032459,5.384634555488313
1566539.2627628965,6.958773237912469,2.1669456708548016
1279750.6611662807,6.9480893505345325,2.5688678066831665
1048218.9307829854,6.660581021318193,3.071319412032822
1288955.542633834,6.622518403309588,0.9096890304937395
1004470.2273588656,6.378995271385424,0.9841581186980336
