N,All Equal,Three Equal,Two Pairs Equal,One Pair Equal,All Distinct
10000,9.233899378405017,27.941428851326336,35.922303601856186,29.71349397642184,-2.8111258080093897
100000,6.5659390168272616,23.175887453500327,29.860618779838543,41.48592054804486,-1.0883657982109929
1000000,5.365532040594548,21.39960255931461,23.656596197164728,46.69813884470525,2.8801303582208635
