Function,Mean,Std Dev,Skewness,Excess Kurtosis,Shapiro-Wilk p,Frac >3σ (%),Heavy-tail ratio
ζ(s),0.003550096278841163,1.3351192990598622,-0.6600364915621043,0.8829970833873189,1.54808568666013e-27,0.8200000000000001,3.037037037037037
"L(s,λ)",0.7223270266236083,0.6313286583543484,-0.019613437258928355,2.750288374306627,1.5152615573240767e-40,1.5599999999999998,5.777777777777777
L_DH(s),-0.8423203550564169,0.8236484729945746,-0.38357407149668554,0.9124166287690256,3.4592147085851946e-19,0.72,2.6666666666666665
